 35.000   7.000
  0.000  200
   128.000    128.000      0.000
 600    1
   1   94.093   -0.800
   2   94.141   -0.852
   3   94.053   -0.838
   4   94.062   -0.852
   5   94.063   -0.860
   6   94.077   -0.877
   7   94.062   -0.875
   8   94.057   -0.887
   9   94.110   -0.937
  10   94.092   -0.957
  11   94.100   -0.915
  12   94.096   -0.928
  13   94.121   -0.917
  14   94.106   -0.898
  15   94.136   -0.831
  16   94.129   -0.787
  17   94.139   -0.772
  18   94.150   -0.756
  19   94.160   -0.741
  20   94.193   -0.964
  21   94.188   -1.071
  22   94.184   -1.112
  23   94.179   -1.152
  24   94.167   -1.113
  25   94.197   -1.049
  26   94.193   -1.007
  27   94.215   -0.945
  28   94.240   -0.891
  29   94.250   -0.851
  30   94.279   -0.817
  31   94.315   -0.798
  32   94.328   -0.774
  33   94.294   -0.756
  34   94.326   -0.809
  35   94.329   -0.880
  36   94.328   -0.986
  37   94.328   -1.092
  38   94.327   -1.199
  39   94.332   -1.115
  40   94.363   -0.876
  41   94.347   -0.708
  42   94.345   -0.717
  43   94.363   -0.736
  44   94.352   -0.753
  45   94.324   -0.763
  46   94.419   -0.785
  47   94.380   -0.773
  48   94.369   -0.783
  49   94.391   -0.779
  50   94.403   -0.773
  51   94.418   -0.812
  52   94.428   -0.821
  53   94.421   -0.823
  54   94.434   -0.802
  55   94.398   -0.770
  56   94.400   -0.772
  57   94.458   -0.720
  58   94.462   -0.730
  59   94.470   -0.765
  60   94.432   -0.771
  61   94.481   -0.776
  62   94.490   -0.761
  63   94.494   -0.755
  64   94.475   -0.738
  65   94.489   -0.706
  66   94.524   -0.695
  67   94.523   -0.648
  68   94.537   -0.618
  69   94.592   -0.589
  70   94.598   -0.598
  71   94.589   -0.701
  72   94.577   -0.699
  73   94.611   -0.659
  74   94.620   -0.655
  75   94.629   -0.651
  76   94.638   -0.647
  77   94.690   -0.585
  78   94.710   -0.573
  79   94.726   -0.547
  80   94.738   -0.531
  81   94.775   -0.512
  82   94.798   -0.491
  83   94.796   -0.482
  84   94.800   -0.436
  85   94.804   -0.390
  86   94.808   -0.345
  87   94.818   -0.272
  88   94.816   -0.363
  89   94.814   -0.454
  90   94.812   -0.545
  91   94.847   -0.470
  92   94.845   -0.400
  93   94.868   -0.384
  94   94.866   -0.373
  95   94.867   -0.354
  96   94.881   -0.344
  97   94.904   -0.317
  98   94.919   -0.322
  99   94.926   -0.318
 100   94.956   -0.314
 101   94.943   -0.353
 102   94.954   -0.350
 103   94.938   -0.387
 104   94.948   -0.375
 105   94.981   -0.390
 106   94.956   -0.382
 107   94.989   -0.266
 108   94.987   -0.195
 109   94.993   -0.192
 110   95.011   -0.188
 111   95.012   -0.181
 112   95.030   -0.173
 113   95.010   -0.192
 114   95.029   -0.193
 115   95.014   -0.210
 116   95.040   -0.190
 117   95.077   -0.140
 118   95.078   -0.122
 119   95.099   -0.132
 120   95.135   -0.133
 121   95.142   -0.084
 122   95.136   -0.038
 123   95.091   -0.094
 124   95.080   -0.090
 125   95.092   -0.086
 126   95.107   -0.052
 127   95.147    0.000
 128   95.150    0.017
 129   95.141    0.037
 130   95.189    0.066
 131   95.192    0.138
 132   95.183    0.191
 133   95.202    0.187
 134   95.183    0.208
 135   95.151    0.179
 136   95.190    0.228
 137   95.209    0.291
 138   95.205    0.349
 139   95.227    0.377
 140   95.204    0.305
 141   95.193    0.180
 142   95.190   -0.021
 143   95.130   -0.057
 144   95.152   -0.030
 145   95.150    0.096
 146   95.162    0.130
 147   95.180    0.131
 148   95.176    0.172
 149   95.162    0.198
 150   95.179    0.197
 151   95.191    0.130
 152   95.170    0.001
 153   95.116   -0.096
 154   95.137   -0.057
 155   95.112   -0.057
 156   95.115    0.068
 157   95.119    0.098
 158   95.129    0.111
 159   95.125    0.114
 160   95.133    0.121
 161   95.101    0.142
 162   95.110    0.164
 163   95.078    0.137
 164   95.090    0.147
 165   95.098    0.110
 166   95.091    0.132
 167   95.105    0.143
 168   95.145    0.170
 169   95.133    0.160
 170   95.153    0.199
 171   95.148    0.225
 172   95.142    0.306
 173   95.125    0.161
 174   95.133    0.150
 175   95.116    0.109
 176   95.139    0.137
 177   95.152    0.143
 178   95.175    0.158
 179   95.148    0.171
 180   95.180    0.247
 181   95.168    0.297
 182   95.174    0.321
 183   95.149    0.297
 184   95.147    0.314
 185   95.165    0.336
 186   95.164    0.371
 187   95.173    0.444
 188   95.178    0.480
 189   95.195    0.553
 190   95.165    0.597
 191   95.146    0.413
 192   95.127    0.230
 193   95.108    0.046
 194   95.092    0.111
 195   95.088    0.155
 196   95.100    0.178
 197   95.112    0.247
 198   95.116    0.276
 199   95.099    0.271
 200   95.121    0.259
 201   95.124    0.194
 202   95.108    0.148
 203   95.063    0.102
 204   95.066    0.095
 205   95.088    0.087
 206   95.056    0.199
 207   95.092    0.212
 208   95.071    0.227
 209   95.080    0.234
 210   95.070    0.249
 211   95.052    0.264
 212   95.047    0.256
 213   95.029    0.217
 214   95.038    0.216
 215   95.020    0.198
 216   95.032    0.230
 217   95.044    0.264
 218   95.069    0.268
 219   95.066    0.253
 220   95.091    0.250
 221   95.087    0.315
 222   95.071    0.353
 223   95.058    0.334
 224   95.059    0.328
 225   95.037    0.274
 226   95.061    0.313
 227   95.074    0.319
 228   95.087    0.341
 229   95.086    0.357
 230   95.083    0.338
 231   95.100    0.335
 232   95.086    0.331
 233   95.070    0.287
 234   95.064    0.322
 235   95.067    0.336
 236   95.063    0.370
 237   95.104    0.435
 238   95.099    0.463
 239   95.118    0.506
 240   95.085    0.534
 241   95.090    0.598
 242   95.069    0.488
 243   95.048    0.378
 244   95.028    0.268
 245   95.007    0.157
 246   94.996    0.252
 247   95.020    0.250
 248   95.028    0.304
 249   95.010    0.307
 250   95.016    0.333
 251   95.025    0.290
 252   95.010    0.243
 253   95.003    0.157
 254   95.027    0.208
 255   94.979    0.144
 256   94.968    0.276
 257   95.000    0.283
 258   94.996    0.269
 259   94.956    0.271
 260   94.958    0.316
 261   94.964    0.291
 262   94.976    0.309
 263   94.946    0.241
 264   94.949    0.237
 265   94.913    0.192
 266   94.928    0.218
 267   94.958    0.237
 268   94.945    0.265
 269   94.934    0.246
 270   94.960    0.277
 271   94.977    0.332
 272   94.989    0.396
 273   94.964    0.440
 274   94.965    0.485
 275   94.952    0.318
 276   94.960    0.282
 277   94.954    0.282
 278   94.999    0.332
 279   94.965    0.334
 280   94.970    0.326
 281   95.020    0.334
 282   95.005    0.365
 283   94.993    0.365
 284   94.988    0.374
 285   94.955    0.270
 286   95.002    0.310
 287   94.983    0.342
 288   94.996    0.359
 289   94.980    0.382
 290   94.980    0.444
 291   94.978    0.474
 292   94.977    0.463
 293   94.928    0.110
 294   94.947    0.101
 295   94.913    0.135
 296   94.900    0.213
 297   94.918    0.253
 298   94.924    0.272
 299   94.920    0.305
 300   94.941    0.323
 301   94.936    0.290
 302   94.921    0.254
 303   94.897    0.166
 304   94.882    0.080
 305   94.872   -0.002
 306   94.862    0.042
 307   94.866    0.295
 308   94.888    0.243
 309   94.872    0.254
 310   94.868    0.237
 311   94.866    0.250
 312   94.860    0.241
 313   94.840    0.192
 314   94.839    0.178
 315   94.828    0.097
 316   94.839    0.067
 317   94.855    0.140
 318   94.859    0.151
 319   94.869    0.176
 320   94.900    0.230
 321   94.899    0.304
 322   94.901    0.348
 323   94.832    0.288
 324   94.867    0.266
 325   94.834    0.154
 326   94.830    0.182
 327   94.855    0.210
 328   94.861    0.241
 329   94.873    0.244
 330   94.891    0.253
 331   94.896    0.278
 332   94.908    0.271
 333   94.887    0.246
 334   94.880    0.257
 335   94.871    0.251
 336   94.891    0.296
 337   94.902    0.348
 338   94.891    0.329
 339   94.911    0.365
 340   94.926    0.404
 341   94.929    0.524
 342   94.895    0.338
 343   94.861    0.151
 344   94.826   -0.035
 345   94.800    0.072
 346   94.839    0.135
 347   94.836    0.147
 348   94.833    0.158
 349   94.837    0.218
 350   94.845    0.213
 351   94.846    0.197
 352   94.832    0.162
 353   94.793    0.046
 354   94.844    0.019
 355   94.772   -0.182
 356   94.769   -0.194
 357   94.843   -0.037
 358   94.794    0.070
 359   94.806    0.144
 360   94.810    0.157
 361   94.820    0.142
 362   94.809    0.144
 363   94.799    0.058
 364   94.768    0.047
 365   94.766    0.032
 366   94.777    0.048
 367   94.786    0.042
 368   94.771    0.050
 369   94.846    0.068
 370   94.848     0.10
 371   94.866    0.138
 372   94.827    0.141
 373   94.834   -0.004
 374   94.780   -0.043
 375   94.764   -0.107
 376   94.795   -0.033
 377   94.822    0.035
 378   94.834    0.061
 379   94.843    0.098
 380   94.864    0.133
 381   94.879    0.149
 382   94.868    0.143
 383   94.855    0.108
 384   94.866    0.121
 385   94.837    0.146
 386   94.873    0.163
 387   94.861    0.207
 388   94.862    0.226
 389   94.889    0.272
 390   94.871    0.316
 391   94.857    0.147
 392   94.844   -0.153
 393   94.806   -0.137
 394   94.843   -0.060
 395   94.788   -0.024
 396   94.829    0.016
 397   94.808    0.022
 398   94.839    0.051
 399   94.828    0.061
 400   94.851    0.094
 401   94.856    0.120
 402   94.852    0.062
 403   94.830    0.015
 404   94.820   -0.069
 405   94.810   -0.185
 406   94.787   -0.196
 407   94.774   -0.130
 408   94.793   -0.064
 409   94.770    0.028
 410   94.774   -0.001
 411   94.734   -0.045
 412   94.828   -0.066
 413   94.771   -0.088
 414   94.753   -0.081
 415   94.730   -0.039
 416   94.766   -0.099
 417   94.789   -0.040
 418   94.790   -0.004
 419   94.798    0.044
 420   94.784    0.077
 421   94.810    0.108
 422   94.805    0.103
 423   94.799   -0.011
 424   94.770   -0.140
 425   94.780   -0.124
 426   94.782   -0.103
 427   94.788   -0.076
 428   94.765   -0.027
 429   94.771   -0.011
 430   94.782    0.005
 431   94.811    0.070
 432   94.787    0.085
 433   94.798    0.078
 434   94.817    0.087
 435   94.767    0.106
 436   94.761    0.115
 437   94.804    0.183
 438   94.826    0.189
 439   94.815    0.251
 440   94.797    0.125
 441   94.845   -0.057
 442   94.809   -0.150
 443   94.734   -0.142
 444   94.724   -0.100
 445   94.681   -0.082
 446   94.675   -0.056
 447   94.661   -0.029
 448   94.735   -0.005
 449   94.746   -0.013
 450   94.807    0.024
 451   94.765   -0.008
 452   94.771   -0.079
 453   94.745   -0.108
 454   94.713   -0.092
 455   94.773   -0.169
 456   94.703   -0.169
 457   94.777   -0.235
 458   94.744   -0.128
 459   94.740    0.031
 460   94.732   -0.019
 461   94.738   -0.019
 462   94.763   -0.035
 463   94.711   -0.106
 464   94.696   -0.194
 465   94.677   -0.212
 466   94.599   -0.212
 467   94.658   -0.189
 468   94.695   -0.174
 469   94.700   -0.147
 470   94.745   -0.093
 471   94.740   -0.126
 472   94.695   -0.218
 473   94.653   -0.352
 474   94.639   -0.329
 475   94.647   -0.269
 476   94.653   -0.252
 477   94.476   -0.223
 478   94.672   -0.138
 479   94.703   -0.141
 480   94.727   -0.145
 481   94.557   -0.173
 482   94.721   -0.117
 483   94.712   -0.132
 484   94.692   -0.144
 485   94.570   -0.141
 486   94.423   -0.137
 487   94.701    0.054
 488   94.644    0.090
 489   94.529   -0.007
 490   94.711   -0.107
 491   94.670   -0.358
 492   94.694   -0.388
 493   94.385   -0.371
 494   94.646   -0.243
 495   94.579   -0.207
 496   94.609   -0.204
 497   94.418   -0.258
 498   94.658   -0.193
 499   94.639   -0.199
 500   94.704   -0.187
 501   94.607   -0.277
 502   94.677   -0.247
 503   94.435   -0.432
 504   94.562   -0.342
 505   94.541   -0.358
 506   94.519   -0.374
 507   94.498   -0.391
 508   94.607   -0.327
 509   94.541   -0.209
 510   94.632   -0.044
 511   94.606   -0.107
 512   94.640   -0.145
 513   94.292   -0.397
 514   94.566   -0.273
 515   94.168   -0.437
 516   94.411   -0.371
 517   94.345   -0.364
 518   94.571   -0.282
 519   94.604   -0.226
 520   94.653   -0.196
 521   94.536   -0.278
 522   94.605   -0.302
 523   94.164   -0.644
 524   94.447   -0.504
 525   94.159   -0.621
 526   94.401   -0.428
 527   94.037   -0.550
 528   94.390   -0.365
 529   94.505   -0.276
 530   94.650   -0.235
 531   94.382   -0.337
 532   94.499   -0.322
 533   94.179   -0.457
 534   94.497   -0.339
 535   94.022   -0.555
 536   94.256   -0.442
 537   94.200   -0.305
 538   94.228   -0.338
 539   94.256   -0.371
 540   94.284   -0.404
 541   94.311   -0.437
 542   94.130   -0.548
 543   93.914   -0.688
 544   94.168   -0.598
 545   93.926   -0.732
 546   94.213   -0.503
 547   93.862   -0.597
 548   94.101   -0.466
 549   94.046   -0.515
 550   94.284   -0.381
 551   93.979   -0.633
 552   94.012   -0.656
 553   93.920   -0.768
 554   94.195   -0.629
 555   93.876   -0.774
 556   93.963   -0.716
 557   93.906   -0.688
 558   94.151   -0.605
 559   93.909   -0.748
 560   94.192   -0.638
 561   93.921   -0.766
 562   93.906   -0.767
 563   93.893   -0.753
 564   94.037   -0.668
 565   93.902   -0.739
 566   93.943   -0.721
 567   93.929   -0.698
 568   94.046   -0.624
 569   93.987   -0.621
 570   94.191   -0.491
 571   93.964   -0.823
 572   93.967   -0.918
 573   93.964   -0.916
