 35.000   7.000
  0.000  200
   128.000    128.000      0.000
 600    1
   1   95.563   -0.916
   2   95.616   -0.930
   3   95.620   -0.886
   4   95.616   -0.864
   5   95.624   -0.808
   6   95.631   -0.777
   7   95.624   -0.742
   8   95.624   -0.777
   9   95.647   -0.868
  10   95.668   -0.978
  11   95.703   -1.084
  12   95.708   -1.095
  13   95.713   -1.105
  14   95.718   -1.116
  15   95.749   -1.020
  16   95.756   -0.968
  17   95.746   -0.932
  18   95.756   -0.918
  19   95.790   -0.879
  20   95.820   -0.831
  21   95.861   -0.805
  22   95.869   -0.789
  23   95.878   -0.725
  24   95.917   -0.764
  25   95.913   -0.827
  26   95.880   -1.084
  27   95.897   -1.188
  28   95.921   -1.253
  29   95.913   -1.139
  30   95.918   -0.906
  31   95.934   -0.711
  32   95.955   -0.717
  33   95.974   -0.704
  34   95.980   -0.716
  35   95.936   -0.758
  36   96.049   -0.765
  37   96.028   -0.767
  38   95.979   -0.802
  39   96.001   -0.800
  40   96.035   -0.801
  41   96.048   -0.829
  42   96.071   -0.814
  43   96.056   -0.779
  44   96.089   -0.760
  45   96.062   -0.728
  46   96.049   -0.749
  47   96.037   -0.769
  48   96.110   -0.749
  49   96.104   -0.798
  50   96.076   -0.821
  51   96.131   -0.798
  52   96.136   -0.787
  53   96.163   -0.735
  54   96.171   -0.713
  55   96.188   -0.699
  56   96.210   -0.685
  57   96.216   -0.631
  58   96.250   -0.608
  59   96.253   -0.613
  60   96.265   -0.652
  61   96.300   -0.759
  62   96.326   -0.713
  63   96.359   -0.658
  64   96.364   -0.641
  65   96.372   -0.628
  66   96.392   -0.621
  67   96.410   -0.631
  68   96.412   -0.620
  69   96.458   -0.562
  70   96.472   -0.543
  71   96.534   -0.533
  72   96.547   -0.502
  73   96.582   -0.456
  74   96.580   -0.420
  75   96.626   -0.349
  76   96.603   -0.288
  77   96.601   -0.359
  78   96.598   -0.430
  79   96.596   -0.501
  80   96.594   -0.572
  81   96.633   -0.483
  82   96.637   -0.405
  83   96.671   -0.386
  84   96.682   -0.357
  85   96.702   -0.319
  86   96.722   -0.307
  87   96.708   -0.309
  88   96.713   -0.348
  89   96.749   -0.340
  90   96.787   -0.341
  91   96.770   -0.341
  92   96.812   -0.334
  93   96.804   -0.352
  94   96.804   -0.343
  95   96.842   -0.365
  96   96.791   -0.348
  97   96.830   -0.302
  98   96.831   -0.249
  99   96.844   -0.224
 100   96.872   -0.221
 101   96.893   -0.194
 102   96.921   -0.172
 103   96.915   -0.160
 104   96.934   -0.175
 105   96.937   -0.190
 106   96.959   -0.175
 107   96.942   -0.167
 108   96.984   -0.177
 109   97.002   -0.171
 110   97.036   -0.178
 111   97.031   -0.137
 112   97.076   -0.114
 113   97.050   -0.041
 114   97.057   -0.044
 115   97.051   -0.047
 116   97.069   -0.021
 117   97.098    0.001
 118   97.089    0.008
 119   97.089    0.032
 120   97.135    0.043
 121   97.139    0.105
 122   97.157    0.159
 123   97.206    0.233
 124   97.186    0.257
 125   97.201    0.220
 126   97.179    0.262
 127   97.163    0.290
 128   97.204    0.377
 129   97.235    0.413
 130   97.164    0.320
 131   97.164    0.212
 132   97.164    0.104
 133   97.164   -0.004
 134   97.189   -0.007
 135   97.124    0.133
 136   97.163    0.159
 137   97.149    0.145
 138   97.135    0.177
 139   97.140    0.196
 140   97.158    0.213
 141   97.186    0.113
 142   97.175    0.090
 143   97.155   -0.001
 144   97.148    0.057
 145   97.106    0.056
 146   97.115    0.109
 147   97.083    0.081
 148   97.096    0.106
 149   97.095    0.092
 150   97.081    0.089
 151   97.066    0.109
 152   97.122    0.159
 153   97.109    0.179
 154   97.101    0.180
 155   97.080    0.139
 156   97.089    0.157
 157   97.097    0.126
 158   97.126    0.155
 159   97.140    0.201
 160   97.151    0.230
 161   97.154    0.225
 162   97.157    0.220
 163   97.160    0.216
 164   97.163    0.211
 165   97.135    0.149
 166   97.198    0.169
 167   97.130    0.124
 168   97.163    0.144
 169   97.175    0.182
 170   97.178    0.232
 171   97.167    0.288
 172   97.200    0.320
 173   97.218    0.332
 174   97.189    0.344
 175   97.181    0.349
 176   97.176    0.377
 177   97.168    0.419
 178   97.188    0.465
 179   97.209    0.502
 180   97.230    0.540
 181   97.198    0.391
 182   97.166    0.241
 183   97.134    0.092
 184   97.123    0.154
 185   97.117    0.171
 186   97.135    0.205
 187   97.110    0.229
 188   97.134    0.271
 189   97.121    0.259
 190   97.129    0.256
 191   97.140    0.177
 192   97.130    0.139
 193   97.123    0.160
 194   97.118    0.160
 195   97.045    0.189
 196   97.063    0.203
 197   97.076    0.196
 198   97.052    0.192
 199   97.077    0.204
 200   97.065    0.221
 201   97.049    0.249
 202   97.082    0.283
 203   97.080    0.264
 204   97.057    0.238
 205   97.035    0.216
 206   97.038    0.226
 207   97.021    0.209
 208   97.043    0.236
 209   97.119    0.280
 210   97.114    0.283
 211   97.124    0.330
 212   97.117    0.371
 213   97.070    0.372
 214   97.074    0.353
 215   97.074    0.313
 216   97.078    0.325
 217   97.066    0.271
 218   97.059    0.290
 219   97.108    0.336
 220   97.128    0.350
 221   97.107    0.315
 222   97.117    0.331
 223   97.147    0.346
 224   97.115    0.358
 225   97.100    0.351
 226   97.110    0.395
 227   97.090    0.421
 228   97.097    0.414
 229   97.137    0.479
 230   97.145    0.519
 231   97.143    0.583
 232   97.111    0.484
 233   97.080    0.384
 234   97.048    0.284
 235   97.016    0.185
 236   97.029    0.225
 237   97.026    0.249
 238   97.037    0.263
 239   97.027    0.292
 240   97.040    0.306
 241   97.034    0.271
 242   97.012    0.245
 243   97.060    0.171
 244   97.026    0.219
 245   96.984    0.162
 246   96.900    0.298
 247   96.980    0.210
 248   96.972    0.235
 249   96.954    0.244
 250   96.920    0.274
 251   96.946    0.262
 252   96.944    0.281
 253   96.948    0.271
 254   96.937    0.269
 255   96.894    0.202
 256   96.884    0.205
 257   96.883    0.168
 258   96.901    0.188
 259   96.914    0.209
 260   96.928    0.237
 261   96.945    0.317
 262   96.962    0.379
 263   96.974    0.452
 264   96.975    0.488
 265   96.916    0.310
 266   96.909    0.286
 267   96.907    0.238
 268   96.947    0.279
 269   96.966    0.324
 270   96.944    0.335
 271   96.972    0.309
 272   96.963    0.319
 273   97.013    0.369
 274   96.976    0.381
 275   96.932    0.256
 276   96.989    0.339
 277   96.912    0.303
 278   96.916    0.313
 279   96.953    0.370
 280   96.926    0.430
 281   96.960    0.455
 282   96.924    0.436
 283   96.910    0.331
 284   96.895    0.226
 285   96.881    0.121
 286   96.890    0.213
 287   96.853    0.210
 288   96.838    0.205
 289   96.865    0.258
 290   96.864    0.269
 291   96.893    0.254
 292   96.878    0.246
 293   96.891    0.200
 294   96.821    0.078
 295   96.809    0.001
 296   96.764    0.010
 297   96.767    0.166
 298   96.787    0.151
 299   96.776    0.225
 300   96.771    0.198
 301   96.744    0.224
 302   96.766    0.225
 303   96.781    0.206
 304   96.771    0.181
 305   96.749    0.082
 306   96.772    0.085
 307   96.740    0.083
 308   96.739    0.069
 309   96.766    0.132
 310   96.798    0.176
 311   96.791    0.249
 312   96.798    0.302
 313   96.795    0.357
 314   96.796    0.299
 315   96.757    0.149
 316   96.722    0.157
 317   96.734    0.163
 318   96.729    0.188
 319   96.750    0.206
 320   96.767    0.217
 321   96.753    0.212
 322   96.800    0.229
 323   96.814    0.263
 324   96.783    0.250
 325   96.762    0.232
 326   96.763    0.251
 327   96.740    0.283
 328   96.759    0.280
 329   96.801    0.352
 330   96.799    0.382
 331   96.777    0.269
 332   96.755    0.156
 333   96.733    0.044
 334   96.711   -0.069
 335   96.647    0.075
 336   96.691    0.117
 337   96.653    0.133
 338   96.680    0.164
 339   96.672    0.179
 340   96.668    0.174
 341   96.701    0.160
 342   96.674    0.141
 343   96.671    0.055
 344   96.672   -0.032
 345   96.609   -0.203
 346   96.622   -0.197
 347   96.635   -0.191
 348   96.619    0.008
 349   96.633    0.117
 350   96.616    0.134
 351   96.629    0.089
 352   96.610    0.083
 353   96.605    0.040
 354   96.575    0.022
 355   96.585    0.018
 356   96.606    0.032
 357   96.578   -0.013
 358   96.546   -0.002
 359   96.664    0.033
 360   96.646    0.064
 361   96.690    0.078
 362   96.678    0.102
 363   96.683    0.035
 364   96.618   -0.024
 365   96.569   -0.115
 366   96.612   -0.050
 367   96.610   -0.026
 368   96.629    0.004
 369   96.663    0.061
 370   96.662    0.079
 371   96.669    0.099
 372   96.698    0.116
 373   96.710    0.123
 374   96.697    0.118
 375   96.653    0.130
 376   96.707    0.136
 377   96.662    0.150
 378   96.656    0.184
 379   96.696    0.241
 380   96.676    0.154
 381   96.656    0.067
 382   96.635   -0.020
 383   96.612   -0.132
 384   96.614   -0.060
 385   96.564   -0.043
 386   96.608   -0.019
 387   96.611   -0.020
 388   96.588    0.017
 389   96.580    0.012
 390   96.598    0.041
 391   96.609    0.044
 392   96.603    0.028
 393   96.628    0.046
 394   96.613   -0.046
 395   96.570   -0.231
 396   96.577   -0.211
 397   96.542   -0.157
 398   96.519   -0.131
 399   96.552   -0.040
 400   96.502   -0.069
 401   96.521   -0.088
 402   96.449   -0.088
 403   96.546   -0.091
 404   96.531   -0.095
 405   96.516    -0.10
 406   96.483   -0.126
 407   96.516   -0.071
 408   96.482   -0.030
 409   96.498    0.011
 410   96.553    0.012
 411   96.559    0.070
 412   96.588    0.035
 413   96.538   -0.087
 414   96.543   -0.168
 415   96.529   -0.159
 416   96.475   -0.134
 417   96.503   -0.104
 418   96.530   -0.067
 419   96.485   -0.057
 420   96.463   -0.033
 421   96.504   -0.018
 422   96.520    0.017
 423   96.553    0.064
 424   96.563    0.076
 425   96.514    0.094
 426   96.516    0.090
 427   96.464    0.145
 428   96.329    0.147
 429   96.337    0.215
 430   96.450    0.153
 431   96.462    0.022
 432   96.493   -0.188
 433   96.490   -0.132
 434   96.521   -0.107
 435   96.421   -0.086
 436   96.356   -0.062
 437   96.323   -0.066
 438   96.395   -0.053
 439   96.266   -0.029
 440   96.407   -0.013
 441   96.435   -0.062
 442   96.477   -0.078
 443   96.441   -0.119
 444   96.415   -0.117
 445   96.416   -0.190
 446   96.379   -0.186
 447   96.357   -0.202
 448   96.259   -0.195
 449   96.359    0.013
 450   96.366   -0.031
 451   96.397    0.003
 452   96.408   -0.067
 453   96.385   -0.147
 454   96.395   -0.192
 455   96.331   -0.223
 456   96.305   -0.228
 457   96.051   -0.248
 458   96.088   -0.231
 459   96.279   -0.187
 460   96.302   -0.155
 461   96.336   -0.181
 462   96.339   -0.242
 463   96.352   -0.346
 464   96.339   -0.380
 465   96.290   -0.300
 466   96.325   -0.251
 467   96.296   -0.198
 468   96.258   -0.189
 469   96.318   -0.155
 470   96.339   -0.154
 471   96.325   -0.157
 472   96.367   -0.153
 473   96.114   -0.199
 474   96.356   -0.140
 475   96.369   -0.139
 476   96.317   -0.111
 477   96.013   -0.052
 478   96.037    0.020
 479   96.318    0.085
 480   96.262   -0.138
 481   95.950   -0.434
 482   96.296   -0.362
 483   96.312   -0.295
 484   96.313   -0.243
 485   96.224   -0.220
 486   96.307   -0.206
 487   96.236   -0.225
 488   96.238   -0.238
 489   95.917   -0.317
 490   96.263   -0.242
 491   96.295   -0.254
 492   96.309   -0.232
 493   96.173   -0.316
 494   96.241   -0.307
 495   96.234   -0.348
 496   96.227   -0.389
 497   95.827   -0.420
 498   96.177   -0.374
 499   96.154   -0.266
 500   96.195   -0.161
 501   96.011   -0.187
 502   96.237   -0.136
 503   96.200   -0.228
 504   96.246   -0.262
 505   95.864   -0.404
 506   96.066   -0.353
 507   95.539   -0.481
 508   95.735   -0.408
 509   95.765   -0.345
 510   96.075   -0.245
 511   96.108   -0.272
 512   96.251   -0.254
 513   96.127   -0.432
 514   96.022   -0.473
 515   95.630   -0.659
 516   95.964   -0.464
 517   95.646   -0.522
 518   95.684   -0.495
 519   95.727   -0.421
 520   95.786   -0.414
 521   95.875   -0.348
 522   95.998   -0.310
 523   95.884   -0.351
 524   95.940   -0.372
 525   95.858   -0.424
 526   96.115   -0.301
 527   95.520   -0.503
 528   95.534   -0.520
 529   95.547   -0.537
 530   95.560   -0.554
 531   95.574   -0.571
 532   95.954   -0.463
 533   95.632   -0.566
 534   95.621   -0.615
 535   95.357   -0.742
 536   95.487   -0.644
 537   95.300   -0.609
 538   95.337   -0.599
 539   95.269   -0.602
 540   95.613   -0.487
 541   95.418   -0.595
 542   95.557   -0.572
 543   95.460   -0.657
 544   95.449   -0.719
 545   95.314   -0.757
 546   95.336   -0.747
 547   95.489   -0.654
 548   95.389   -0.674
 549   95.338   -0.733
 550   95.617   -0.666
 551   95.319   -0.769
 552   95.425   -0.699
 553   95.313   -0.695
 554   95.298   -0.747
 555   95.276   -0.764
 556   95.381   -0.719
 557   95.344   -0.694
 558   95.486   -0.625
 559   95.391   -0.658
 560   95.479   -0.623
 561   95.405   -0.782
 562   95.661   -0.668
 563   95.380   -0.882
 564   95.369   -0.885
 565   95.374   -0.861
 566   95.575   -0.755
 567   95.399   -0.812
 568   95.439   -0.782
 569   95.432   -0.770
 570   95.428   -0.772
 571   95.483   -0.730
 572   95.539   -0.694
 573   95.529   -0.687
