 35.000   7.000
  0.000  200
   128.000    128.000      0.000
 600    1
   1   95.813   -0.933
   2   95.853   -0.943
   3   95.818   -0.913
   4   95.821   -0.937
   5   95.817   -0.926
   6   95.825   -0.916
   7   95.843   -0.865
   8   95.851   -0.822
   9   95.872   -0.754
  10   95.875   -0.751
  11   95.894   -0.811
  12   95.900   -0.945
  13   95.907   -1.089
  14   95.880   -1.131
  15   95.887   -1.179
  16   95.896   -1.120
  17   95.916   -1.055
  18   95.921   -1.021
  19   95.945   -0.979
  20   95.941   -0.930
  21   95.956   -0.868
  22   95.996   -0.830
  23   96.024   -0.802
  24   96.036   -0.794
  25   96.035   -0.756
  26   96.044   -0.809
  27   96.055   -0.873
  28   96.053   -0.984
  29   96.051   -1.094
  30   96.074   -1.230
  31   96.092   -1.157
  32   96.064   -0.914
  33   96.101   -0.687
  34   96.093   -0.705
  35   96.092   -0.728
  36   96.093   -0.746
  37   96.106   -0.760
  38   96.113   -0.797
  39   96.122   -0.771
  40   96.089   -0.776
  41   96.135   -0.774
  42   96.171   -0.763
  43   96.177   -0.796
  44   96.175   -0.818
  45   96.162   -0.823
  46   96.170   -0.816
  47   96.149   -0.780
  48   96.144   -0.765
  49   96.223   -0.701
  50   96.204   -0.711
  51   96.214   -0.743
  52   96.197   -0.752
  53   96.220   -0.756
  54   96.246   -0.755
  55   96.222   -0.751
  56   96.231   -0.724
  57   96.249   -0.704
  58   96.260   -0.684
  59   96.289   -0.642
  60   96.292   -0.613
  61   96.345   -0.569
  62   96.366   -0.554
  63   96.371   -0.672
  64   96.359   -0.682
  65   96.378   -0.660
  66   96.384   -0.655
  67   96.425   -0.650
  68   96.415   -0.609
  69   96.456   -0.581
  70   96.460   -0.566
  71   96.504   -0.540
  72   96.520   -0.524
  73   96.542   -0.506
  74   96.554   -0.487
  75   96.572   -0.467
  76   96.569   -0.448
  77   96.617   -0.377
  78   96.598   -0.305
  79   96.608   -0.276
  80   96.609   -0.363
  81   96.610   -0.450
  82   96.611   -0.536
  83   96.633   -0.462
  84   96.632   -0.411
  85   96.652   -0.391
  86   96.651   -0.373
  87   96.662   -0.355
  88   96.669   -0.326
  89   96.712   -0.282
  90   96.705   -0.300
  91   96.706   -0.307
  92   96.720   -0.311
  93   96.727   -0.328
  94   96.764   -0.331
  95   96.719   -0.373
  96   96.745   -0.361
  97   96.792   -0.371
  98   96.773   -0.373
  99   96.771   -0.263
 100   96.772   -0.198
 101   96.789   -0.174
 102   96.811   -0.166
 103   96.810   -0.166
 104   96.824   -0.157
 105   96.815   -0.185
 106   96.815   -0.183
 107   96.819   -0.193
 108   96.852   -0.184
 109   96.879   -0.141
 110   96.871   -0.124
 111   96.894   -0.136
 112   96.947   -0.129
 113   96.927   -0.091
 114   96.948   -0.093
 115   96.874   -0.089
 116   96.855   -0.075
 117   96.884   -0.082
 118   96.908   -0.046
 119   96.945     0.01
 120   96.951    0.036
 121   96.952    0.063
 122   96.988    0.084
 123   97.019    0.144
 124   97.001    0.194
 125   96.993    0.189
 126   97.001    0.214
 127   96.964    0.191
 128   97.016    0.235
 129   97.023    0.305
 130   97.033    0.333
 131   97.029    0.405
 132   97.045    0.408
 133   97.010    0.251
 134   96.974    0.095
 135   96.938   -0.062
 136   96.962   -0.028
 137   96.959    0.091
 138   96.986    0.151
 139   96.979    0.146
 140   96.985    0.176
 141   96.987    0.175
 142   96.964    0.173
 143   96.974    0.128
 144   96.957    0.033
 145   96.941   -0.092
 146   96.959   -0.055
 147   96.918   -0.069
 148   96.927    0.073
 149   96.912    0.081
 150   96.936    0.122
 151   96.922    0.121
 152   96.936    0.123
 153   96.934    0.137
 154   96.926    0.151
 155   96.894    0.138
 156   96.902    0.154
 157   96.920    0.125
 158   96.912    0.144
 159   96.933    0.127
 160   96.925    0.138
 161   96.965    0.180
 162   96.970    0.220
 163   96.969    0.205
 164   97.004    0.333
 165   96.952    0.166
 166   96.929    0.153
 167   96.923    0.093
 168   96.936    0.118
 169   96.955    0.130
 170   96.981    0.145
 171   96.956    0.146
 172   97.001    0.224
 173   97.004    0.294
 174   96.980    0.306
 175   96.969    0.285
 176   96.982    0.292
 177   96.965    0.316
 178   96.983    0.346
 179   96.991    0.427
 180   96.995    0.457
 181   97.003    0.527
 182   97.021    0.588
 183   96.979    0.408
 184   96.936    0.227
 185   96.894    0.046
 186   96.913    0.107
 187   96.919    0.167
 188   96.927    0.196
 189   96.961    0.261
 190   96.949    0.298
 191   96.940    0.290
 192   96.946    0.271
 193   96.956    0.226
 194   96.956    0.170
 195   96.883    0.107
 196   96.909    0.106
 197   96.917    0.055
 198   96.875    0.147
 199   96.888    0.197
 200   96.895    0.212
 201   96.880    0.210
 202   96.880    0.212
 203   96.881    0.240
 204   96.865    0.248
 205   96.869    0.214
 206   96.874    0.215
 207   96.839    0.194
 208   96.862    0.231
 209   96.881    0.259
 210   96.890    0.267
 211   96.885    0.250
 212   96.896    0.253
 213   96.912    0.302
 214   96.916    0.316
 215   96.922    0.328
 216   96.867    0.300
 217   96.861    0.244
 218   96.885    0.293
 219   96.892    0.315
 220   96.925    0.325
 221   96.898    0.337
 222   96.917    0.333
 223   96.949    0.315
 224   96.911    0.304
 225   96.912    0.288
 226   96.917    0.309
 227   96.919    0.334
 228   96.918    0.354
 229   96.947    0.423
 230   96.941    0.460
 231   96.966    0.485
 232   96.924    0.525
 233   96.957    0.591
 234   96.945    0.583
 235   96.894    0.339
 236   96.844    0.094
 237   96.843    0.138
 238   96.835    0.225
 239   96.867    0.202
 240   96.871    0.272
 241   96.853    0.279
 242   96.870    0.313
 243   96.878    0.291
 244   96.868    0.255
 245   96.853    0.163
 246   96.841    0.181
 247   96.813    0.110
 248   96.876    0.147
 249   96.828    0.236
 250   96.817    0.216
 251   96.776    0.250
 252   96.799    0.292
 253   96.796    0.266
 254   96.793    0.272
 255   96.775    0.198
 256   96.778    0.206
 257   96.739    0.153
 258   96.774    0.183
 259   96.789    0.202
 260   96.784    0.217
 261   96.776    0.216
 262   96.819    0.246
 263   96.820    0.304
 264   96.835    0.375
 265   96.808    0.404
 266   96.837    0.449
 267   96.781    0.269
 268   96.798    0.231
 269   96.805    0.256
 270   96.815    0.295
 271   96.819    0.302
 272   96.818    0.305
 273   96.862    0.311
 274   96.853    0.301
 275   96.837    0.279
 276   96.810    0.260
 277   96.793    0.230
 278   96.817    0.214
 279   96.832    0.285
 280   96.833    0.335
 281   96.834    0.363
 282   96.821    0.412
 283   96.824    0.425
 284   96.818    0.420
 285   96.794    0.242
 286   96.771    0.064
 287   96.760    0.119
 288   96.762    0.192
 289   96.790    0.227
 290   96.798    0.232
 291   96.775    0.237
 292   96.778    0.261
 293   96.795    0.223
 294   96.773    0.209
 295   96.769    0.138
 296   96.730    0.072
 297   96.728   -0.031
 298   96.728   -0.033
 299   96.731    0.072
 300   96.734    0.178
 301   96.712    0.215
 302   96.717    0.215
 303   96.692    0.236
 304   96.703    0.222
 305   96.709    0.161
 306   96.688    0.131
 307   96.702    0.063
 308   96.705    0.049
 309   96.709    0.098
 310   96.700    0.095
 311   96.708    0.114
 312   96.744    0.168
 313   96.765    0.244
 314   96.746    0.292
 315   96.690    0.242
 316   96.698    0.206
 317   96.670    0.087
 318   96.674    0.102
 319   96.680    0.142
 320   96.710    0.186
 321   96.717    0.200
 322   96.745    0.231
 323   96.753    0.255
 324   96.781    0.247
 325   96.743    0.201
 326   96.751    0.206
 327   96.718    0.177
 328   96.738    0.223
 329   96.750    0.294
 330   96.756    0.291
 331   96.768    0.327
 332   96.769    0.341
 333   96.727    0.193
 334   96.685    0.045
 335   96.642   -0.102
 336   96.664   -0.044
 337   96.627    0.007
 338   96.678    0.074
 339   96.688    0.126
 340   96.684    0.150
 341   96.693    0.176
 342   96.701    0.166
 343   96.721    0.144
 344   96.692    0.112
 345   96.676    0.025
 346   96.667   -0.039
 347   96.624   -0.241
 348   96.618   -0.280
 349   96.675   -0.117
 350   96.646   -0.044
 351   96.648    0.079
 352   96.649    0.114
 353   96.675    0.071
 354   96.655    0.058
 355   96.602   -0.023
 356   96.607   -0.037
 357   96.612   -0.045
 358   96.634   -0.031
 359   96.638   -0.023
 360   96.625   -0.011
 361   96.669    0.000
 362   96.712    0.035
 363   96.719    0.065
 364   96.683    0.050
 365   96.663   -0.114
 366   96.640   -0.162
 367   96.634   -0.168
 368   96.631   -0.113
 369   96.671   -0.060
 370   96.658   -0.039
 371   96.704    0.002
 372   96.707    0.036
 373   96.715    0.077
 374   96.725    0.070
 375   96.699    0.026
 376   96.717    0.038
 377   96.700    0.041
 378   96.726    0.070
 379   96.709    0.111
 380   96.711    0.151
 381   96.726    0.214
 382   96.721    0.109
 383   96.715    0.004
 384   96.710   -0.100
 385   96.679   -0.186
 386   96.679   -0.160
 387   96.639   -0.081
 388   96.677   -0.047
 389   96.672   -0.029
 390   96.670   -0.029
 391   96.677   -0.021
 392   96.686    0.008
 393   96.687    0.028
 394   96.687   -0.024
 395   96.688   -0.052
 396   96.672   -0.139
 397   96.631   -0.215
 398   96.637   -0.238
 399   96.648   -0.189
 400   96.650   -0.164
 401   96.651   -0.069
 402   96.622   -0.077
 403   96.647   -0.093
 404   96.654   -0.130
 405   96.626   -0.154
 406   96.593   -0.157
 407   96.560   -0.170
 408   96.639   -0.124
 409   96.621   -0.084
 410   96.612   -0.076
 411   96.613   -0.018
 412   96.639   -0.003
 413   96.649    0.012
 414   96.630    0.015
 415   96.625   -0.128
 416   96.631   -0.226
 417   96.622   -0.212
 418   96.629   -0.179
 419   96.607   -0.149
 420   96.586   -0.105
 421   96.626   -0.095
 422   96.650   -0.072
 423   96.643   -0.025
 424   96.642   -0.014
 425   96.651   -0.009
 426   96.689     0.01
 427   96.633    0.029
 428   96.599    0.052
 429   96.640    0.125
 430   96.661    0.129
 431   96.680    0.199
 432   96.612    0.017
 433   96.635   -0.130
 434   96.654   -0.256
 435   96.572   -0.224
 436   96.584   -0.142
 437   96.550   -0.133
 438   96.570   -0.114
 439   96.545   -0.083
 440   96.589   -0.069
 441   96.564   -0.092
 442   96.629   -0.051
 443   96.595   -0.096
 444   96.617   -0.146
 445   96.578   -0.169
 446   96.560   -0.165
 447   96.588   -0.231
 448   96.443   -0.236
 449   96.572   -0.270
 450   96.575   -0.262
 451   96.574   -0.153
 452   96.538   -0.124
 453   96.503   -0.094
 454   96.574   -0.114
 455   96.500   -0.190
 456   96.489   -0.270
 457   96.414   -0.296
 458   96.370   -0.282
 459   96.481   -0.262
 460   96.452   -0.254
 461   96.490   -0.231
 462   96.559   -0.186
 463   96.571   -0.239
 464   96.522   -0.314
 465   96.345   -0.479
 466   96.486   -0.433
 467   96.494   -0.376
 468   96.465   -0.351
 469   96.449   -0.251
 470   96.529   -0.205
 471   96.530   -0.200
 472   96.493   -0.207
 473   96.364   -0.229
 474   96.506   -0.202
 475   96.504   -0.207
 476   96.516   -0.204
 477   96.410   -0.193
 478   96.330   -0.172
 479   96.554   -0.016
 480   96.487   -0.012
 481   96.404   -0.125
 482   96.320   -0.239
 483   96.481   -0.400
 484   96.503   -0.410
 485   96.155   -0.438
 486   96.350   -0.332
 487   96.388   -0.276
 488   96.303   -0.284
 489   96.094   -0.357
 490   96.443   -0.264
 491   96.431   -0.271
 492   96.500   -0.274
 493   96.365   -0.362
 494   96.454   -0.314
 495   96.214   -0.509
 496   96.316   -0.445
 497   96.337   -0.433
 498   96.357   -0.420
 499   96.378   -0.408
 500   96.398   -0.396
 501   96.432   -0.301
 502   96.437   -0.189
 503   96.444   -0.183
 504   96.466   -0.235
 505   96.037   -0.491
 506   96.366   -0.336
 507   95.884   -0.513
 508   96.335   -0.407
 509   96.059   -0.432
 510   96.351   -0.330
 511   96.141   -0.345
 512   96.457   -0.237
 513   96.371   -0.336
 514   96.393   -0.369
 515   95.976   -0.702
 516   96.225   -0.566
 517   95.910   -0.647
 518   96.209   -0.496
 519   95.799   -0.620
 520   96.157   -0.435
 521   96.309   -0.349
 522   96.436   -0.299
 523   96.170   -0.386
 524   96.329   -0.354
 525   95.946   -0.497
 526   96.285   -0.371
 527   95.764   -0.599
 528   95.883   -0.530
 529   95.935   -0.480
 530   95.939   -0.494
 531   95.942   -0.508
 532   95.946   -0.522
 533   95.949   -0.536
 534   95.953   -0.550
 535   95.650   -0.713
 536   95.938   -0.624
 537   95.671   -0.778
 538   95.954   -0.588
 539   95.703   -0.657
 540   95.831   -0.503
 541   95.777   -0.551
 542   95.847   -0.526
 543   95.731   -0.635
 544   95.789   -0.720
 545   95.623   -0.832
 546   95.962   -0.662
 547   95.573   -0.802
 548   95.727   -0.758
 549   95.594   -0.733
 550   95.912   -0.614
 551   95.635   -0.767
 552   95.863   -0.716
 553   95.664   -0.826
 554   95.623   -0.840
 555   95.609   -0.798
 556   95.772   -0.717
 557   95.685   -0.758
 558   95.703   -0.751
 559   95.645   -0.715
 560   95.743   -0.663
 561   95.718   -0.654
 562   95.947   -0.517
 563   95.669   -0.871
 564   95.679   -0.957
 565   95.688   -0.955
 566   95.835   -0.851
 567   95.652   -0.880
 568   95.689   -0.846
 569   95.729   -0.835
 570   95.727   -0.810
