 35.000   7.000
  0.000  200
   128.000    128.000      0.000
 600    1
   1   95.460   -0.952
   2   95.510   -0.968
   3   95.527   -0.916
   4   95.507   -0.905
   5   95.526   -0.876
   6   95.514   -0.829
   7   95.507   -0.789
   8   95.512   -0.850
   9   95.514   -0.938
  10   95.552   -1.060
  11   95.561   -1.150
  12   95.570   -1.167
  13   95.578   -1.184
  14   95.577   -1.108
  15   95.601   -1.067
  16   95.591   -1.029
  17   95.582   -0.998
  18   95.602   -0.986
  19   95.614   -0.935
  20   95.654   -0.877
  21   95.692   -0.846
  22   95.700   -0.822
  23   95.688   -0.761
  24   95.697   -0.821
  25   95.729   -0.949
  26   95.706   -1.068
  27   95.683   -1.187
  28   95.700   -1.269
  29   95.727   -1.204
  30   95.722   -0.999
  31   95.726   -0.918
  32   95.729   -0.837
  33   95.733   -0.755
  34   95.765   -0.754
  35   95.742   -0.817
  36   95.768   -0.820
  37   95.793   -0.823
  38   95.747   -0.872
  39   95.767   -0.858
  40   95.795   -0.845
  41   95.802   -0.847
  42   95.842   -0.855
  43   95.819   -0.828
  44   95.835   -0.807
  45   95.812   -0.790
  46   95.785   -0.809
  47   95.838   -0.769
  48   95.837   -0.815
  49   95.855   -0.832
  50   95.820   -0.884
  51   95.854   -0.864
  52   95.865   -0.832
  53   95.879   -0.770
  54   95.902   -0.740
  55   95.892   -0.727
  56   95.922   -0.704
  57   95.934   -0.652
  58   95.938   -0.660
  59   95.954   -0.691
  60   95.958   -0.721
  61   95.985   -0.786
  62   96.010   -0.741
  63   96.020   -0.711
  64   96.018   -0.698
  65   96.038   -0.694
  66   96.044   -0.671
  67   96.069   -0.698
  68   96.083   -0.678
  69   96.102   -0.602
  70   96.127   -0.592
  71   96.154   -0.556
  72   96.177   -0.532
  73   96.196   -0.489
  74   96.189   -0.464
  75   96.230   -0.414
  76   96.229   -0.359
  77   96.223   -0.454
  78   96.216   -0.549
  79   96.210   -0.644
  80   96.240   -0.593
  81   96.247   -0.514
  82   96.234   -0.467
  83   96.267   -0.430
  84   96.264   -0.407
  85   96.278   -0.386
  86   96.283   -0.353
  87   96.281   -0.345
  88   96.302   -0.362
  89   96.332   -0.373
  90   96.326   -0.381
  91   96.316   -0.400
  92   96.323   -0.389
  93   96.324   -0.400
  94   96.337   -0.400
  95   96.388   -0.401
  96   96.355   -0.415
  97   96.375   -0.372
  98   96.356   -0.308
  99   96.382   -0.264
 100   96.394   -0.262
 101   96.415   -0.231
 102   96.407   -0.218
 103   96.427   -0.206
 104   96.443   -0.233
 105   96.423   -0.245
 106   96.452   -0.225
 107   96.437   -0.218
 108   96.440   -0.223
 109   96.492   -0.220
 110   96.496   -0.203
 111   96.495   -0.191
 112   96.523   -0.196
 113   96.521   -0.106
 114   96.506   -0.082
 115   96.526   -0.090
 116   96.537   -0.065
 117   96.525   -0.046
 118   96.537   -0.021
 119   96.547   -0.006
 120   96.574    0.015
 121   96.586    0.022
 122   96.590    0.077
 123   96.598    0.138
 124   96.603    0.185
 125   96.586    0.156
 126   96.595    0.182
 127   96.577    0.243
 128   96.600    0.290
 129   96.637    0.338
 130   96.613    0.235
 131   96.601    0.129
 132   96.588    0.022
 133   96.576   -0.084
 134   96.579   -0.018
 135   96.533    0.097
 136   96.544    0.102
 137   96.548    0.073
 138   96.543    0.094
 139   96.562    0.109
 140   96.561    0.141
 141   96.566    0.079
 142   96.559    0.029
 143   96.557   -0.038
 144   96.551   -0.063
 145   96.517   -0.066
 146   96.490    0.008
 147   96.470   -0.001
 148   96.489    0.031
 149   96.489    0.040
 150   96.488    0.044
 151   96.493    0.059
 152   96.524    0.118
 153   96.504    0.139
 154   96.502    0.141
 155   96.494    0.096
 156   96.479    0.111
 157   96.484    0.078
 158   96.509    0.102
 159   96.513    0.117
 160   96.529    0.152
 161   96.543    0.121
 162   96.538    0.125
 163   96.534    0.129
 164   96.529    0.133
 165   96.496    0.068
 166   96.514    0.080
 167   96.501    0.073
 168   96.539    0.092
 169   96.530    0.125
 170   96.571    0.170
 171   96.546    0.241
 172   96.558    0.298
 173   96.587    0.317
 174   96.571    0.321
 175   96.546    0.309
 176   96.545    0.328
 177   96.532    0.394
 178   96.549    0.421
 179   96.563    0.449
 180   96.577    0.478
 181   96.547    0.336
 182   96.516    0.195
 183   96.485    0.053
 184   96.472    0.116
 185   96.463    0.140
 186   96.486    0.146
 187   96.473    0.169
 188   96.488    0.219
 189   96.495    0.248
 190   96.483    0.266
 191   96.505    0.220
 192   96.498    0.153
 193   96.470    0.113
 194   96.484    0.099
 195   96.443    0.023
 196   96.431    0.121
 197   96.439    0.138
 198   96.425    0.166
 199   96.436    0.181
 200   96.437    0.193
 201   96.431    0.210
 202   96.436    0.236
 203   96.426    0.222
 204   96.404    0.179
 205   96.397    0.169
 206   96.406    0.196
 207   96.404    0.196
 208   96.418    0.220
 209   96.434    0.231
 210   96.459    0.239
 211   96.449    0.267
 212   96.447    0.296
 213   96.469    0.314
 214   96.420    0.266
 215   96.385    0.180
 216   96.408    0.215
 217   96.396    0.185
 218   96.429    0.221
 219   96.442    0.286
 220   96.445    0.292
 221   96.458    0.274
 222   96.457    0.283
 223   96.474    0.309
 224   96.453    0.319
 225   96.443    0.315
 226   96.455    0.356
 227   96.460    0.387
 228   96.429    0.391
 229   96.471    0.430
 230   96.438    0.489
 231   96.489    0.535
 232   96.445    0.510
 233   96.419    0.390
 234   96.393    0.270
 235   96.367    0.150
 236   96.375    0.211
 237   96.364    0.196
 238   96.387    0.218
 239   96.367    0.237
 240   96.391    0.276
 241   96.417    0.262
 242   96.370    0.257
 243   96.388    0.222
 244   96.366    0.166
 245   96.349    0.062
 246   96.336    0.115
 247   96.323    0.167
 248   96.319    0.177
 249   96.316    0.236
 250   96.307    0.270
 251   96.312    0.262
 252   96.305    0.263
 253   96.317    0.244
 254   96.328    0.231
 255   96.291    0.188
 256   96.278    0.176
 257   96.275    0.145
 258   96.294    0.177
 259   96.281    0.208
 260   96.316    0.227
 261   96.324    0.282
 262   96.339    0.358
 263   96.348    0.427
 264   96.352    0.478
 265   96.297    0.244
 266   96.306    0.232
 267   96.286    0.207
 268   96.316    0.237
 269   96.325    0.288
 270   96.336    0.302
 271   96.343    0.275
 272   96.353    0.267
 273   96.355    0.308
 274   96.360    0.304
 275   96.325    0.226
 276   96.342    0.227
 277   96.296    0.256
 278   96.324    0.292
 279   96.348    0.352
 280   96.330    0.381
 281   96.320    0.383
 282   96.328    0.353
 283   96.308    0.265
 284   96.287    0.176
 285   96.266    0.088
 286   96.259    0.184
 287   96.241    0.161
 288   96.271    0.155
 289   96.266    0.189
 290   96.270    0.216
 291   96.304    0.228
 292   96.313    0.243
 293   96.335    0.203
 294   96.286    0.129
 295   96.233   -0.027
 296   96.199   -0.037
 297   96.200    0.001
 298   96.200    0.038
 299   96.212    0.200
 300   96.206    0.187
 301   96.214    0.219
 302   96.222    0.228
 303   96.226    0.197
 304   96.201    0.130
 305   96.191    0.073
 306   96.190    0.041
 307   96.179    0.052
 308   96.203    0.055
 309   96.228    0.110
 310   96.240    0.156
 311   96.239    0.204
 312   96.251    0.253
 313   96.245    0.331
 314   96.258    0.258
 315   96.201    0.095
 316   96.183    0.101
 317   96.192    0.118
 318   96.207    0.152
 319   96.220    0.186
 320   96.235    0.205
 321   96.231    0.208
 322   96.255    0.201
 323   96.273    0.219
 324   96.260    0.209
 325   96.241    0.196
 326   96.255    0.229
 327   96.250    0.280
 328   96.261    0.281
 329   96.290    0.333
 330   96.273    0.333
 331   96.254    0.231
 332   96.234    0.128
 333   96.215    0.025
 334   96.196   -0.078
 335   96.162    0.047
 336   96.186    0.092
 337   96.165    0.098
 338   96.185    0.112
 339   96.170    0.119
 340   96.183    0.117
 341   96.187    0.090
 342   96.172    0.080
 343   96.210    0.044
 344   96.202   -0.048
 345   96.171   -0.182
 346   96.150   -0.267
 347   96.149   -0.164
 348   96.148   -0.109
 349   96.161    0.055
 350   96.149    0.118
 351   96.133    0.044
 352   96.168    0.047
 353   96.159    0.020
 354   96.147   -0.009
 355   96.131   -0.036
 356   96.143   -0.025
 357   96.136   -0.049
 358   96.131   -0.040
 359   96.204   -0.006
 360   96.206    0.023
 361   96.197    0.034
 362   96.230    0.047
 363   96.220   -0.030
 364   96.171   -0.114
 365   96.164   -0.170
 366   96.158   -0.108
 367   96.174   -0.080
 368   96.192   -0.056
 369   96.224   -0.005
 370   96.215    0.021
 371   96.207    0.037
 372   96.251    0.059
 373   96.265    0.058
 374   96.258    0.057
 375   96.219    0.053
 376   96.252    0.074
 377   96.232    0.087
 378   96.218    0.134
 379   96.276    0.209
 380   96.264    0.150
 381   96.252    0.091
 382   96.240    0.031
 383   96.228   -0.028
 384   96.216   -0.088
 385   96.181   -0.073
 386   96.201   -0.062
 387   96.182   -0.057
 388   96.207   -0.037
 389   96.201   -0.045
 390   96.209   -0.025
 391   96.201   -0.026
 392   96.211   -0.033
 393   96.224   -0.002
 394   96.227   -0.106
 395   96.182   -0.242
 396   96.203   -0.255
 397   96.178   -0.217
 398   96.166   -0.194
 399   96.167   -0.143
 400   96.168   -0.091
 401   96.191   -0.123
 402   96.186   -0.122
 403   96.184   -0.137
 404   96.171   -0.158
 405   96.179   -0.179
 406   96.157   -0.176
 407   96.146   -0.127
 408   96.149   -0.091
 409   96.177   -0.050
 410   96.214   -0.040
 411   96.197   -0.016
 412   96.209   -0.045
 413   96.163   -0.168
 414   96.201   -0.229
 415   96.156   -0.215
 416   96.139   -0.186
 417   96.187   -0.157
 418   96.205   -0.126
 419   96.182   -0.109
 420   96.167   -0.095
 421   96.207   -0.076
 422   96.215   -0.044
 423   96.209    0.004
 424   96.234    0.019
 425   96.211    0.039
 426   96.231    0.054
 427   96.207    0.107
 428   96.110    0.129
 429   96.192    0.167
 430   96.240    0.072
 431   96.229   -0.112
 432   96.143   -0.262
 433   96.179   -0.187
 434   96.179   -0.146
 435   96.141   -0.124
 436   96.135   -0.110
 437   96.077   -0.118
 438   96.138    -0.10
 439   96.080   -0.092
 440   96.145   -0.088
 441   96.146   -0.136
 442   96.180   -0.134
 443   96.157   -0.170
 444   96.144   -0.184
 445   96.185   -0.239
 446   96.164   -0.210
 447   96.138   -0.243
 448   96.094   -0.282
 449   96.132   -0.122
 450   96.102   -0.117
 451   96.163   -0.081
 452   96.150   -0.134
 453   96.149   -0.233
 454   96.167   -0.260
 455   96.045   -0.282
 456   96.079   -0.277
 457   96.107   -0.242
 458   96.035   -0.252
 459   96.092   -0.243
 460   96.069   -0.231
 461   96.110   -0.261
 462   96.124   -0.342
 463   96.140   -0.423
 464   96.059   -0.444
 465   95.967   -0.428
 466   96.081   -0.325
 467   96.102   -0.257
 468   96.091   -0.235
 469   96.037   -0.223
 470   96.138   -0.195
 471   96.130   -0.198
 472   96.142   -0.216
 473   95.985   -0.248
 474   96.163   -0.191
 475   96.085   -0.193
 476   96.138   -0.144
 477   96.045   -0.068
 478   96.027   -0.148
 479   96.008   -0.228
 480   95.989   -0.307
 481   95.971   -0.387
 482   96.002   -0.432
 483   96.087   -0.348
 484   96.105   -0.294
 485   96.017   -0.288
 486   96.082   -0.273
 487   96.033   -0.295
 488   96.083   -0.300
 489   95.730   -0.416
 490   96.061   -0.331
 491   95.997   -0.364
 492   96.096   -0.332
 493   96.034   -0.404
 494   95.971   -0.418
 495   95.911   -0.424
 496   95.850   -0.430
 497   95.790   -0.436
 498   95.880   -0.446
 499   96.002   -0.394
 500   95.895   -0.377
 501   95.915   -0.269
 502   96.071   -0.223
 503   96.025   -0.314
 504   96.010   -0.341
 505   95.654   -0.491
 506   95.756   -0.451
 507   95.858   -0.411
 508   95.881   -0.390
 509   95.790   -0.351
 510   95.884   -0.317
 511   95.941   -0.383
 512   95.945   -0.418
 513   96.003   -0.490
 514   96.042   -0.498
 515   95.564   -0.695
 516   95.892   -0.518
 517   95.579   -0.611
 518   95.886   -0.446
 519   95.483   -0.599
 520   95.802   -0.433
 521   95.931   -0.353
 522   96.105   -0.300
 523   95.838   -0.405
 524   95.973   -0.409
 525   95.698   -0.534
 526   95.988   -0.359
 527   95.412   -0.693
 528   95.447   -0.666
 529   95.483   -0.640
 530   95.518   -0.613
 531   95.553   -0.586
 532   95.931   -0.468
 533   95.755   -0.575
 534   95.589   -0.653
 535   95.290   -0.807
 536   95.406   -0.741
 537   95.284   -0.710
 538   95.550   -0.525
 539   95.265   -0.670
 540   95.536   -0.550
 541   95.443   -0.647
 542   95.743   -0.506
 543   95.366   -0.788
 544   95.410   -0.779
 545   95.275   -0.822
 546   95.383   -0.770
 547   95.253   -0.767
 548   95.321   -0.738
 549   95.299   -0.805
 550   95.582   -0.728
 551   95.383   -0.816
 552   95.456   -0.746
 553   95.320   -0.755
 554   95.308   -0.787
 555   95.303   -0.806
 556   95.439   -0.718
 557   95.323   -0.735
 558   95.343   -0.730
 559   95.331   -0.746
 560   95.395   -0.749
 561   95.387   -0.857
 562   95.575   -0.756
 563   95.346   -0.927
 564   95.353   -0.931
 565   95.348   -0.904
 566   95.521   -0.801
 567   95.375   -0.861
 568   95.384   -0.844
 569   95.402   -0.820
 570   95.406   -0.799
