 35.000   7.000
  0.000  200
   128.000    128.000      0.000
 600    1
   1   95.455   -0.935
   2   95.397   -0.961
   3   95.461   -0.918
   4   95.433   -0.910
   5   95.442   -0.917
   6   95.437   -0.893
   7   95.461   -0.828
   8   95.484   -0.799
   9   95.492   -0.770
  10   95.495   -0.798
  11   95.541   -0.916
  12   95.516   -1.068
  13   95.528   -1.123
  14   95.542   -1.157
  15   95.493   -1.148
  16   95.529   -1.096
  17   95.551   -1.033
  18   95.565   -1.007
  19   95.576   -0.954
  20   95.600   -0.906
  21   95.623   -0.853
  22   95.669   -0.815
  23   95.676   -0.810
  24   95.701   -0.732
  25   95.687   -0.791
  26   95.709   -0.873
  27   95.700   -0.981
  28   95.684   -1.141
  29   95.695   -1.234
  30   95.722   -1.213
  31   95.720   -1.035
  32   95.756   -0.803
  33   95.744   -0.722
  34   95.781   -0.712
  35   95.759   -0.744
  36   95.751   -0.770
  37   95.755   -0.778
  38   95.760   -0.786
  39   95.764   -0.795
  40   95.780   -0.825
  41   95.807   -0.801
  42   95.812   -0.790
  43   95.839   -0.815
  44   95.804   -0.802
  45   95.818   -0.808
  46   95.830   -0.798
  47   95.818   -0.766
  48   95.824   -0.762
  49   95.831   -0.757
  50   95.838   -0.752
  51   95.865   -0.808
  52   95.888   -0.780
  53   95.913   -0.789
  54   95.893   -0.773
  55   95.893   -0.741
  56   95.914   -0.726
  57   95.937   -0.696
  58   95.933   -0.683
  59   95.958   -0.642
  60   95.987   -0.617
  61   96.017   -0.607
  62   96.045   -0.660
  63   96.052   -0.721
  64   96.058   -0.705
  65   96.054   -0.680
  66   96.082   -0.655
  67   96.068   -0.645
  68   96.124   -0.652
  69   96.152   -0.619
  70   96.158   -0.582
  71   96.187   -0.546
  72   96.207   -0.524
  73   96.244   -0.512
  74   96.259   -0.490
  75   96.254   -0.479
  76   96.260   -0.438
  77   96.273   -0.381
  78   96.308   -0.342
  79   96.286   -0.478
  80   96.264   -0.614
  81   96.306   -0.571
  82   96.344   -0.524
  83   96.309   -0.435
  84   96.342   -0.404
  85   96.343   -0.392
  86   96.367   -0.374
  87   96.353   -0.343
  88   96.354   -0.346
  89   96.398   -0.338
  90   96.384   -0.328
  91   96.402   -0.337
  92   96.444   -0.355
  93   96.464   -0.345
  94   96.435   -0.367
  95   96.433   -0.374
  96   96.398   -0.405
  97   96.447   -0.397
  98   96.450   -0.371
  99   96.472   -0.249
 100   96.486   -0.212
 101   96.509   -0.203
 102   96.534   -0.202
 103   96.524   -0.186
 104   96.549   -0.180
 105   96.521   -0.219
 106   96.533   -0.213
 107   96.535   -0.202
 108   96.568   -0.200
 109   96.560   -0.169
 110   96.605   -0.166
 111   96.614   -0.175
 112   96.606   -0.183
 113   96.666   -0.137
 114   96.635   -0.031
 115   96.596   -0.079
 116   96.622   -0.070
 117   96.641   -0.049
 118   96.634   -0.020
 119   96.652   -0.005
 120   96.659    0.026
 121   96.692    0.059
 122   96.711    0.064
 123   96.719    0.142
 124   96.731    0.182
 125   96.686    0.165
 126   96.698    0.182
 127   96.699    0.175
 128   96.731    0.225
 129   96.730    0.322
 130   96.744    0.382
 131   96.762    0.377
 132   96.695    0.137
 133   96.701    0.005
 134   96.710   -0.040
 135   96.646   -0.025
 136   96.686   -0.002
 137   96.639    0.118
 138   96.687    0.139
 139   96.682    0.153
 140   96.681    0.169
 141   96.651    0.167
 142   96.679    0.184
 143   96.682    0.083
 144   96.679   -0.023
 145   96.614   -0.092
 146   96.645   -0.046
 147   96.609    0.026
 148   96.632    0.088
 149   96.622    0.097
 150   96.606    0.113
 151   96.604    0.112
 152   96.654    0.129
 153   96.647    0.163
 154   96.619    0.169
 155   96.597    0.135
 156   96.582    0.145
 157   96.586    0.124
 158   96.576    0.135
 159   96.619    0.150
 160   96.615    0.161
 161   96.631    0.172
 162   96.644    0.189
 163   96.600    0.362
 164   96.620    0.235
 165   96.597    0.141
 166   96.618    0.148
 167   96.596    0.112
 168   96.634    0.143
 169   96.655    0.135
 170   96.655    0.153
 171   96.660    0.193
 172   96.645    0.236
 173   96.651    0.309
 174   96.659    0.315
 175   96.649    0.297
 176   96.646    0.323
 177   96.644    0.341
 178   96.650    0.396
 179   96.656    0.447
 180   96.668    0.504
 181   96.690    0.528
 182   96.657    0.273
 183   96.623    0.018
 184   96.593    0.029
 185   96.554    0.085
 186   96.557    0.137
 187   96.561    0.157
 188   96.582    0.191
 189   96.584    0.261
 190   96.586    0.292
 191   96.575    0.268
 192   96.594    0.262
 193   96.611    0.183
 194   96.566    0.123
 195   96.526    0.060
 196   96.484    0.020
 197   96.478    0.081
 198   96.488    0.116
 199   96.507    0.196
 200   96.531    0.216
 201   96.530    0.218
 202   96.514    0.235
 203   96.506    0.245
 204   96.475    0.221
 205   96.485    0.190
 206   96.482    0.204
 207   96.461    0.197
 208   96.485    0.232
 209   96.503    0.250
 210   96.504    0.251
 211   96.525    0.250
 212   96.523    0.255
 213   96.528    0.310
 214   96.502    0.329
 215   96.472    0.261
 216   96.480    0.280
 217   96.483    0.257
 218   96.481    0.280
 219   96.491    0.297
 220   96.491    0.329
 221   96.514    0.315
 222   96.532    0.317
 223   96.522    0.315
 224   96.513    0.309
 225   96.475    0.272
 226   96.495    0.314
 227   96.500    0.334
 228   96.516    0.392
 229   96.537    0.450
 230   96.529    0.464
 231   96.525    0.529
 232   96.527    0.537
 233   96.463    0.541
 234   96.462    0.330
 235   96.455    0.098
 236   96.437    0.152
 237   96.432    0.214
 238   96.418    0.225
 239   96.427    0.265
 240   96.432    0.263
 241   96.420    0.292
 242   96.431    0.299
 243   96.429    0.296
 244   96.445    0.248
 245   96.406    0.186
 246   96.411    0.160
 247   96.403    0.133
 248   96.366    0.228
 249   96.354    0.217
 250   96.358    0.270
 251   96.349    0.268
 252   96.346    0.301
 253   96.331    0.274
 254   96.351    0.277
 255   96.299    0.197
 256   96.320    0.182
 257   96.308    0.145
 258   96.300    0.195
 259   96.322    0.201
 260   96.326    0.225
 261   96.334    0.225
 262   96.347    0.268
 263   96.355    0.359
 264   96.362    0.398
 265   96.357    0.450
 266   96.325    0.439
 267   96.283    0.233
 268   96.299    0.229
 269   96.341    0.268
 270   96.326    0.299
 271   96.343    0.289
 272   96.364    0.284
 273   96.394    0.298
 274   96.352    0.305
 275   96.351    0.275
 276   96.354    0.269
 277   96.303    0.115
 278   96.346    0.250
 279   96.336    0.315
 280   96.344    0.327
 281   96.416    0.410
 282   96.335    0.440
 283   96.345    0.439
 284   96.318    0.323
 285   96.265    0.052
 286   96.303    0.093
 287   96.245    0.146
 288   96.264    0.193
 289   96.305    0.206
 290   96.274    0.211
 291   96.280    0.235
 292   96.297    0.255
 293   96.276    0.232
 294   96.251    0.199
 295   96.202    0.099
 296   96.201    0.024
 297   96.209   -0.030
 298   96.188   -0.032
 299   96.198    0.184
 300   96.211    0.197
 301   96.186    0.236
 302   96.225    0.238
 303   96.220    0.247
 304   96.209    0.210
 305   96.174    0.140
 306   96.164    0.122
 307   96.154    0.063
 308   96.169    0.060
 309   96.179    0.098
 310   96.183    0.108
 311   96.200    0.134
 312   96.192    0.190
 313   96.223    0.276
 314   96.224    0.341
 315   96.171    0.211
 316   96.176    0.176
 317   96.168    0.124
 318   96.166    0.152
 319   96.173    0.181
 320   96.178    0.209
 321   96.197    0.223
 322   96.218    0.238
 323   96.241    0.269
 324   96.241    0.268
 325   96.212    0.218
 326   96.212    0.205
 327   96.192    0.193
 328   96.198    0.235
 329   96.220    0.288
 330   96.184    0.291
 331   96.223    0.353
 332   96.208    0.351
 333   96.183    0.209
 334   96.159    0.067
 335   96.134   -0.075
 336   96.110   -0.020
 337   96.130    0.079
 338   96.125    0.125
 339   96.142    0.154
 340   96.158    0.176
 341   96.151    0.176
 342   96.133    0.174
 343   96.135    0.154
 344   96.139    0.099
 345   96.111   -0.019
 346   96.116   -0.070
 347   96.097   -0.194
 348   96.089   -0.214
 349   96.110   -0.090
 350   96.098    0.034
 351   96.099    0.133
 352   96.090    0.115
 353   96.110    0.084
 354   96.120    0.091
 355   96.038   -0.017
 356   96.023   -0.003
 357   96.060   -0.023
 358   96.054   -0.013
 359   96.051   -0.003
 360   96.040    0.007
 361   96.137    0.034
 362   96.132    0.065
 363   96.158    0.078
 364   96.134    0.021
 365   96.083   -0.137
 366   96.058   -0.138
 367   96.031   -0.159
 368   96.083   -0.080
 369   96.106   -0.033
 370   96.140    0.011
 371   96.148    0.048
 372   96.187    0.074
 373   96.171    0.082
 374   96.161    0.084
 375   96.158    0.062
 376   96.171    0.070
 377   96.149    0.103
 378   96.198    0.102
 379   96.168    0.154
 380   96.181    0.188
 381   96.177    0.243
 382   96.173    0.170
 383   96.169    0.097
 384   96.082   -0.227
 385   96.131   -0.132
 386   96.100   -0.094
 387   96.092   -0.058
 388   96.116   -0.033
 389   96.119   -0.025
 390   96.101    0.004
 391   96.113    0.004
 392   96.145    0.030
 393   96.150    0.021
 394   96.131   -0.031
 395   96.139   -0.091
 396   96.090   -0.146
 397   96.080   -0.264
 398   96.046   -0.259
 399   96.103   -0.157
 400   96.077   -0.070
 401   96.063   -0.043
 402   96.026   -0.066
 403   96.106   -0.090
 404   96.085   -0.119
 405   96.059   -0.149
 406   96.036   -0.144
 407   96.037   -0.148
 408   96.046   -0.142
 409   96.050   -0.084
 410   96.084   -0.051
 411   96.087    0.005
 412   96.101    0.030
 413   96.109    0.053
 414   96.117   -0.035
 415   96.054   -0.159
 416   96.040   -0.208
 417   96.066   -0.178
 418   96.087   -0.148
 419   96.079   -0.130
 420   96.064   -0.086
 421   96.083   -0.067
 422   96.088   -0.071
 423   96.120    0.013
 424   96.110    0.026
 425   96.141    0.030
 426   96.117    0.046
 427   96.065    0.065
 428   96.032    0.078
 429   96.058    0.144
 430   96.125    0.162
 431   96.108    0.188
 432   96.087   -0.033
 433   96.131   -0.236
 434   96.070   -0.221
 435   96.006   -0.166
 436   96.019   -0.125
 437   95.966   -0.120
 438   95.944   -0.099
 439   95.957   -0.104
 440   95.980   -0.067
 441   96.087   -0.045
 442   96.145   -0.052
 443   96.078   -0.095
 444   96.073   -0.144
 445   96.026   -0.143
 446   96.041   -0.183
 447   96.109   -0.220
 448   96.009   -0.199
 449   96.082   -0.270
 450   96.086   -0.166
 451   96.054   -0.027
 452   96.048   -0.088
 453   96.073   -0.084
 454   96.042   -0.134
 455   96.027   -0.209
 456   95.991   -0.257
 457   95.848   -0.282
 458   95.770   -0.281
 459   96.009   -0.224
 460   95.915   -0.228
 461   96.031   -0.186
 462   96.032   -0.175
 463   96.029   -0.243
 464   96.028   -0.352
 465   95.874   -0.452
 466   95.960   -0.347
 467   95.961   -0.338
 468   95.872   -0.318
 469   96.024   -0.215
 470   96.021   -0.173
 471   96.061   -0.186
 472   96.060   -0.191
 473   95.851   -0.224
 474   96.048   -0.183
 475   96.032   -0.185
 476   96.013   -0.191
 477   95.857   -0.168
 478   95.707   -0.154
 479   95.915   -0.031
 480   95.943   -0.133
 481   95.971   -0.235
 482   96.000   -0.336
 483   95.960   -0.376
 484   96.019   -0.402
 485   95.915   -0.323
 486   95.974   -0.278
 487   95.911   -0.257
 488   95.924   -0.273
 489   95.725   -0.325
 490   95.959   -0.255
 491   95.987   -0.271
 492   96.024   -0.263
 493   95.898   -0.310
 494   95.968   -0.349
 495   95.524   -0.557
 496   95.591   -0.519
 497   95.657   -0.481
 498   95.723   -0.443
 499   95.789   -0.406
 500   95.604   -0.460
 501   95.887   -0.244
 502   95.951   -0.116
 503   95.974   -0.191
 504   95.965   -0.272
 505   95.604   -0.452
 506   95.896   -0.349
 507   95.365   -0.522
 508   95.704   -0.431
 509   95.516   -0.437
 510   95.852   -0.325
 511   95.926   -0.251
 512   96.020   -0.232
 513   95.866   -0.385
 514   95.850   -0.459
 515   95.446   -0.704
 516   95.561   -0.649
 517   95.446   -0.652
 518   95.682   -0.480
 519   95.279   -0.622
 520   95.684   -0.430
 521   95.831   -0.346
 522   95.873   -0.337
 523   95.753   -0.378
 524   95.800   -0.362
 525   95.465   -0.522
 526   95.849   -0.390
 527   95.424   -0.523
 528   95.551   -0.460
 529   95.518   -0.526
 530   95.485   -0.593
 531   95.452   -0.659
 532   95.419   -0.726
 533   95.489   -0.525
 534   95.420   -0.575
 535   95.190   -0.732
 536   95.473   -0.650
 537   95.287   -0.728
 538   95.492   -0.544
 539   95.115   -0.668
 540   95.421   -0.523
 541   95.340   -0.579
 542   95.620   -0.444
 543   95.479   -0.533
 544   95.312   -0.743
 545   95.203   -0.817
 546   95.296   -0.770
 547   95.126   -0.809
 548   95.264   -0.722
 549   95.189   -0.711
 550   95.466   -0.620
 551   95.222   -0.793
 552   95.478   -0.689
 553   95.230   -0.809
 554   95.229   -0.799
 555   95.182   -0.801
 556   95.312   -0.723
 557   95.191   -0.781
 558   95.243   -0.752
 559   95.231   -0.723
 560   95.332   -0.638
 561   95.289   -0.674
 562   95.545   -0.557
 563   95.234   -0.937
 564   95.277   -0.945
 565   95.254   -0.942
 566   95.431   -0.823
 567   95.254   -0.868
 568   95.286   -0.852
 569   95.307   -0.820
 570   95.309   -0.808
 571   95.330   -0.772
