 35.000   7.000
  0.000  200
   128.000    128.000      0.000
 600    1
   1   94.725   -0.939
   2   94.716   -0.971
   3   94.715   -0.916
   4   94.727   -0.943
   5   94.716   -0.935
   6   94.725   -0.932
   7   94.759   -0.864
   8   94.763   -0.824
   9   94.770   -0.755
  10   94.788   -0.766
  11   94.801   -0.836
  12   94.793   -0.975
  13   94.830   -1.099
  14   94.812   -1.134
  15   94.794   -1.170
  16   94.824   -1.132
  17   94.853   -1.066
  18   94.832   -1.038
  19   94.872   -0.976
  20   94.878   -0.919
  21   94.896   -0.874
  22   94.917   -0.849
  23   94.969   -0.814
  24   94.990   -0.806
  25   94.966   -0.760
  26   94.978   -0.825
  27   95.000   -0.928
  28   94.993   -1.031
  29   94.985   -1.135
  30   95.031   -1.237
  31   95.032   -1.162
  32   95.006   -0.937
  33   95.048   -0.701
  34   95.027   -0.720
  35   95.059   -0.739
  36   95.046   -0.759
  37   95.096   -0.782
  38   95.073   -0.805
  39   95.080   -0.782
  40   95.059   -0.787
  41   95.106   -0.783
  42   95.129   -0.768
  43   95.120   -0.796
  44   95.146   -0.818
  45   95.117   -0.819
  46   95.148   -0.801
  47   95.121   -0.771
  48   95.112   -0.759
  49   95.205   -0.698
  50   95.186   -0.728
  51   95.175   -0.769
  52   95.172   -0.778
  53   95.200   -0.776
  54   95.223   -0.770
  55   95.213   -0.766
  56   95.206   -0.738
  57   95.235   -0.712
  58   95.249   -0.687
  59   95.269   -0.641
  60   95.298   -0.610
  61   95.339   -0.574
  62   95.373   -0.579
  63   95.357   -0.687
  64   95.364   -0.693
  65   95.384   -0.668
  66   95.397   -0.661
  67   95.428   -0.662
  68   95.432   -0.619
  69   95.482   -0.588
  70   95.473   -0.576
  71   95.517   -0.545
  72   95.546   -0.526
  73   95.575   -0.507
  74   95.584   -0.490
  75   95.598   -0.480
  76   95.576   -0.457
  77   95.660   -0.381
  78   95.656   -0.324
  79   95.652   -0.380
  80   95.648   -0.436
  81   95.644   -0.491
  82   95.640   -0.547
  83   95.677   -0.460
  84   95.671   -0.405
  85   95.684   -0.397
  86   95.683   -0.376
  87   95.690   -0.360
  88   95.736   -0.332
  89   95.730   -0.305
  90   95.750   -0.326
  91   95.757   -0.324
  92   95.788   -0.322
  93   95.782   -0.327
  94   95.809   -0.332
  95   95.777   -0.375
  96   95.798   -0.368
  97   95.854   -0.371
  98   95.838   -0.373
  99   95.834   -0.256
 100   95.858   -0.192
 101   95.852   -0.177
 102   95.874   -0.169
 103   95.890   -0.171
 104   95.905   -0.171
 105   95.860   -0.201
 106   95.912   -0.191
 107   95.899   -0.202
 108   95.924   -0.185
 109   95.950   -0.148
 110   95.945   -0.134
 111   95.977   -0.145
 112   96.026   -0.133
 113   96.019   -0.083
 114   96.031   -0.089
 115   95.979   -0.093
 116   95.966   -0.078
 117   95.990   -0.080
 118   96.026   -0.057
 119   96.033    0.009
 120   96.039    0.029
 121   96.069    0.053
 122   96.110    0.081
 123   96.137    0.125
 124   96.123    0.203
 125   96.124    0.187
 126   96.121    0.227
 127   96.094    0.211
 128   96.134    0.246
 129   96.133    0.310
 130   96.150    0.329
 131   96.133    0.396
 132   96.149    0.368
 133   96.119    0.264
 134   96.089    0.159
 135   96.059    0.055
 136   96.029   -0.049
 137   96.025    0.078
 138   96.056    0.107
 139   96.067    0.130
 140   96.101    0.152
 141   96.086    0.159
 142   96.070    0.184
 143   96.113    0.137
 144   96.090    0.040
 145   96.040   -0.078
 146   96.062   -0.049
 147   96.021   -0.060
 148   96.023    0.070
 149   96.029    0.106
 150   96.023    0.121
 151   96.014    0.119
 152   96.027    0.122
 153   96.011    0.128
 154   96.032    0.148
 155   95.983    0.136
 156   96.007    0.145
 157   96.008    0.127
 158   95.993    0.113
 159   96.018    0.134
 160   96.062    0.164
 161   96.058    0.148
 162   96.076    0.213
 163   96.066    0.118
 164   96.084    0.295
 165   96.051    0.143
 166   96.027    0.134
 167   96.030    0.099
 168   96.050    0.117
 169   96.073    0.133
 170   96.090    0.142
 171   96.075    0.145
 172   96.112    0.203
 173   96.094    0.261
 174   96.074    0.291
 175   96.081    0.279
 176   96.094    0.295
 177   96.084    0.321
 178   96.106    0.361
 179   96.108    0.441
 180   96.138    0.468
 181   96.109    0.550
 182   96.141    0.602
 183   96.089    0.415
 184   96.038    0.227
 185   95.987    0.040
 186   96.030    0.105
 187   95.996    0.149
 188   96.039    0.194
 189   96.072    0.261
 190   96.056    0.303
 191   96.035    0.280
 192   96.038    0.263
 193   96.043    0.213
 194   96.025    0.162
 195   95.950    0.088
 196   96.013    0.086
 197   96.001    0.053
 198   96.002    0.126
 199   96.004    0.199
 200   95.973    0.199
 201   95.982    0.213
 202   95.992    0.219
 203   95.968    0.237
 204   95.947    0.219
 205   95.948    0.200
 206   95.962    0.191
 207   95.913    0.163
 208   95.937    0.207
 209   95.988    0.251
 210   95.985    0.270
 211   96.002    0.264
 212   96.012    0.273
 213   96.032    0.319
 214   96.018    0.339
 215   95.994    0.319
 216   95.989    0.290
 217   95.952    0.240
 218   95.994    0.274
 219   95.999    0.306
 220   96.038    0.322
 221   96.031    0.348
 222   96.030    0.323
 223   96.066    0.310
 224   96.042    0.310
 225   95.997    0.263
 226   95.995    0.287
 227   96.002    0.321
 228   96.012    0.357
 229   96.058    0.415
 230   96.044    0.444
 231   96.077    0.472
 232   96.017    0.501
 233   96.060    0.551
 234   96.028    0.443
 235   95.995    0.335
 236   95.963    0.228
 237   95.930    0.120
 238   95.928    0.217
 239   95.996    0.226
 240   95.984    0.274
 241   95.951    0.279
 242   95.973    0.317
 243   95.994    0.281
 244   95.955    0.245
 245   95.969    0.170
 246   95.929    0.167
 247   95.910    0.088
 248   95.938    0.150
 249   95.942    0.256
 250   95.931    0.237
 251   95.884    0.256
 252   95.888    0.293
 253   95.903    0.272
 254   95.891    0.283
 255   95.859    0.218
 256   95.856    0.201
 257   95.833    0.148
 258   95.838    0.162
 259   95.853    0.180
 260   95.871    0.199
 261   95.862    0.207
 262   95.902    0.237
 263   95.931    0.302
 264   95.932    0.379
 265   95.917    0.407
 266   95.908    0.454
 267   95.876    0.280
 268   95.868    0.210
 269   95.903    0.234
 270   95.915    0.276
 271   95.884    0.282
 272   95.901    0.287
 273   95.951    0.296
 274   95.940    0.292
 275   95.894    0.255
 276   95.909    0.261
 277   95.873    0.215
 278   95.914    0.223
 279   95.922    0.293
 280   95.921    0.331
 281   95.945    0.370
 282   95.918    0.420
 283   95.920    0.434
 284   95.884    0.385
 285   95.848    0.062
 286   95.841    0.045
 287   95.825    0.114
 288   95.814    0.190
 289   95.855    0.206
 290   95.874    0.213
 291   95.836    0.222
 292   95.850    0.254
 293   95.882    0.230
 294   95.869    0.222
 295   95.840    0.142
 296   95.780    0.062
 297   95.789   -0.043
 298   95.776   -0.053
 299   95.781    0.031
 300   95.785    0.116
 301   95.786    0.213
 302   95.781    0.203
 303   95.765    0.229
 304   95.750    0.215
 305   95.772    0.160
 306   95.758    0.134
 307   95.763    0.067
 308   95.761    0.048
 309   95.755    0.075
 310   95.782    0.101
 311   95.773    0.113
 312   95.811    0.163
 313   95.827    0.235
 314   95.820    0.291
 315   95.750    0.222
 316   95.758    0.205
 317   95.727    0.083
 318   95.752    0.112
 319   95.758    0.173
 320   95.774    0.204
 321   95.774    0.206
 322   95.802    0.225
 323   95.826    0.235
 324   95.837    0.224
 325   95.794    0.186
 326   95.808    0.193
 327   95.783    0.176
 328   95.799    0.213
 329   95.794    0.270
 330   95.832    0.271
 331   95.816    0.310
 332   95.814    0.308
 333   95.789    0.217
 334   95.764    0.127
 335   95.739    0.036
 336   95.714   -0.054
 337   95.719    0.029
 338   95.751    0.094
 339   95.724    0.139
 340   95.753    0.162
 341   95.733    0.171
 342   95.761    0.151
 343   95.768    0.136
 344   95.732    0.104
 345   95.679   -0.027
 346   95.724   -0.060
 347   95.673   -0.249
 348   95.649   -0.281
 349   95.730   -0.118
 350   95.678   -0.073
 351   95.696    0.070
 352   95.674    0.096
 353   95.717    0.058
 354   95.704    0.048
 355   95.641   -0.040
 356   95.641   -0.048
 357   95.650   -0.053
 358   95.651   -0.040
 359   95.660   -0.025
 360   95.657   -0.015
 361   95.743    0.005
 362   95.738    0.042
 363   95.759    0.054
 364   95.726    0.020
 365   95.719   -0.144
 366   95.686   -0.187
 367   95.680   -0.207
 368   95.677   -0.124
 369   95.711   -0.062
 370   95.740   -0.030
 371   95.742    0.011
 372   95.753    0.043
 373   95.772    0.061
 374   95.787    0.052
 375   95.758    0.025
 376   95.797    0.041
 377   95.769    0.046
 378   95.797    0.065
 379   95.769    0.113
 380   95.764    0.152
 381   95.778    0.216
 382   95.770    0.106
 383   95.761   -0.003
 384   95.752   -0.112
 385   95.743   -0.221
 386   95.751   -0.141
 387   95.721   -0.090
 388   95.754   -0.053
 389   95.716   -0.040
 390   95.772   -0.024
 391   95.746   -0.034
 392   95.779    0.009
 393   95.740    0.019
 394   95.742   -0.037
 395   95.737   -0.057
 396   95.732   -0.151
 397   95.704   -0.232
 398   95.685   -0.250
 399   95.692   -0.191
 400   95.705   -0.152
 401   95.710   -0.078
 402   95.650   -0.071
 403   95.721   -0.114
 404   95.707   -0.139
 405   95.647   -0.164
 406   95.630   -0.163
 407   95.615   -0.181
 408   95.648   -0.170
 409   95.685   -0.117
 410   95.663   -0.090
 411   95.656   -0.045
 412   95.693   -0.009
 413   95.688    0.006
 414   95.686   -0.006
 415   95.675   -0.135
 416   95.656   -0.239
 417   95.666   -0.222
 418   95.649   -0.188
 419   95.641   -0.161
 420   95.637   -0.113
 421   95.671   -0.104
 422   95.691   -0.086
 423   95.684   -0.035
 424   95.687   -0.020
 425   95.694   -0.012
 426   95.737    0.002
 427   95.654    0.024
 428   95.638    0.042
 429   95.702    0.127
 430   95.717    0.124
 431   95.699    0.204
 432   95.691    0.055
 433   95.708   -0.182
 434   95.683   -0.250
 435   95.624   -0.227
 436   95.611   -0.142
 437   95.544   -0.139
 438   95.530   -0.129
 439   95.540   -0.096
 440   95.625   -0.072
 441   95.654   -0.091
 442   95.676   -0.062
 443   95.625   -0.099
 444   95.642   -0.159
 445   95.637   -0.184
 446   95.569   -0.175
 447   95.633   -0.244
 448   95.495   -0.243
 449   95.642   -0.286
 450   95.625   -0.260
 451   95.542   -0.166
 452   95.541   -0.123
 453   95.575   -0.102
 454   95.616   -0.127
 455   95.534   -0.214
 456   95.516   -0.278
 457   95.390   -0.309
 458   95.473   -0.275
 459   95.490   -0.273
 460   95.456   -0.269
 461   95.554   -0.229
 462   95.596   -0.191
 463   95.595   -0.260
 464   95.502   -0.345
 465   95.328   -0.489
 466   95.488   -0.444
 467   95.490   -0.385
 468   95.494   -0.364
 469   95.437   -0.266
 470   95.549   -0.210
 471   95.528   -0.213
 472   95.538   -0.216
 473   95.413   -0.234
 474   95.565   -0.204
 475   95.559   -0.211
 476   95.522   -0.216
 477   95.422   -0.199
 478   95.323   -0.188
 479   95.560   -0.021
 480   95.439   -0.043
 481   95.386   -0.156
 482   95.334   -0.269
 483   95.473   -0.410
 484   95.519   -0.421
 485   95.190   -0.431
 486   95.462   -0.325
 487   95.360   -0.304
 488   95.436   -0.286
 489   95.088   -0.356
 490   95.471   -0.276
 491   95.447   -0.285
 492   95.463   -0.295
 493   95.397   -0.362
 494   95.466   -0.325
 495   95.071   -0.580
 496   95.311   -0.449
 497   95.216   -0.455
 498   95.121   -0.462
 499   95.027   -0.469
 500   94.932   -0.475
 501   95.390   -0.328
 502   95.473   -0.192
 503   95.464   -0.201
 504   95.481   -0.270
 505   94.990   -0.509
 506   95.340   -0.353
 507   94.752   -0.514
 508   95.310   -0.416
 509   95.181   -0.376
 510   95.413   -0.342
 511   95.438   -0.279
 512   95.304   -0.265
 513   95.394   -0.338
 514   95.381   -0.423
 515   94.913   -0.713
 516   95.197   -0.574
 517   94.840   -0.689
 518   95.116   -0.531
 519   94.963   -0.542
 520   95.203   -0.420
 521   95.231   -0.375
 522   95.462   -0.309
 523   95.117   -0.426
 524   95.208   -0.383
 525   94.847   -0.517
 526   94.992   -0.469
 527   94.649   -0.613
 528   94.965   -0.475
 529   94.918   -0.474
 530   94.911   -0.490
 531   94.904   -0.505
 532   94.897   -0.521
 533   94.890   -0.537
 534   94.883   -0.553
 535   94.532   -0.728
 536   94.842   -0.635
 537   94.573   -0.783
 538   94.866   -0.614
 539   94.463   -0.685
 540   94.765   -0.519
 541   94.622   -0.567
 542   95.005   -0.447
 543   94.560   -0.719
 544   94.601   -0.771
 545   94.514   -0.850
 546   94.901   -0.677
 547   94.471   -0.809
 548   94.605   -0.765
 549   94.496   -0.732
 550   94.739   -0.644
 551   94.505   -0.771
 552   94.893   -0.688
 553   94.546   -0.834
 554   94.506   -0.830
 555   94.508   -0.808
 556   94.659   -0.728
 557   94.498   -0.791
 558   94.545   -0.770
 559   94.543   -0.722
 560   94.665   -0.665
 561   94.621   -0.664
 562   94.883   -0.526
 563   94.515   -0.924
 564   94.539   -0.975
 565   94.556   -0.962
 566   94.742   -0.859
 567   94.507   -0.894
 568   94.604   -0.856
 569   94.622   -0.842
 570   94.622   -0.821
