 35.000   7.000
  0.000  200
   128.000    128.000      0.000
 600    1
   1   95.639   -0.918
   2   95.709   -0.931
   3   95.709   -0.882
   4   95.686   -0.868
   5   95.697   -0.815
   6   95.700   -0.773
   7   95.708   -0.740
   8   95.724   -0.770
   9   95.740   -0.862
  10   95.756   -0.967
  11   95.796   -1.073
  12   95.796   -1.089
  13   95.796   -1.104
  14   95.796   -1.119
  15   95.819   -1.030
  16   95.817   -0.984
  17   95.822   -0.948
  18   95.825   -0.935
  19   95.860   -0.887
  20   95.895   -0.835
  21   95.945   -0.799
  22   95.961   -0.776
  23   95.944   -0.718
  24   95.976   -0.763
  25   95.975   -0.821
  26   95.946   -1.088
  27   95.951   -1.187
  28   95.976   -1.250
  29   95.981   -1.149
  30   95.976   -0.914
  31   95.998   -0.714
  32   96.000   -0.724
  33   96.032   -0.720
  34   96.011   -0.725
  35   96.031   -0.738
  36   96.051   -0.750
  37   96.072   -0.762
  38   96.028   -0.816
  39   96.048   -0.817
  40   96.089   -0.814
  41   96.099   -0.832
  42   96.125   -0.816
  43   96.109   -0.782
  44   96.142   -0.754
  45   96.115   -0.733
  46   96.123   -0.726
  47   96.130   -0.720
  48   96.138   -0.713
  49   96.161   -0.797
  50   96.130   -0.825
  51   96.165   -0.803
  52   96.189   -0.783
  53   96.206   -0.735
  54   96.216   -0.715
  55   96.213   -0.700
  56   96.246   -0.685
  57   96.266   -0.628
  58   96.268   -0.612
  59   96.287   -0.623
  60   96.297   -0.663
  61   96.307   -0.703
  62   96.317   -0.743
  63   96.356   -0.663
  64   96.380   -0.652
  65   96.390   -0.626
  66   96.412   -0.618
  67   96.426   -0.624
  68   96.421   -0.612
  69   96.474   -0.570
  70   96.475   -0.557
  71   96.525   -0.542
  72   96.555   -0.511
  73   96.574   -0.457
  74   96.581   -0.421
  75   96.624   -0.350
  76   96.597   -0.287
  77   96.594   -0.356
  78   96.590   -0.426
  79   96.587   -0.495
  80   96.584   -0.564
  81   96.637   -0.478
  82   96.626   -0.404
  83   96.663   -0.384
  84   96.681   -0.358
  85   96.690   -0.310
  86   96.706   -0.296
  87   96.699   -0.308
  88   96.716   -0.348
  89   96.731   -0.345
  90   96.765   -0.348
  91   96.751   -0.351
  92   96.811   -0.336
  93   96.787   -0.354
  94   96.788   -0.348
  95   96.830   -0.366
  96   96.775   -0.354
  97   96.814   -0.289
  98   96.822   -0.244
  99   96.809   -0.222
 100   96.834   -0.230
 101   96.857   -0.202
 102   96.871   -0.181
 103   96.876   -0.176
 104   96.895   -0.186
 105   96.911   -0.198
 106   96.928   -0.179
 107   96.920   -0.166
 108   96.935   -0.185
 109   96.959   -0.188
 110   96.981   -0.197
 111   96.992   -0.149
 112   97.028   -0.132
 113   97.017   -0.037
 114   97.008   -0.043
 115   97.012   -0.047
 116   97.019   -0.021
 117   97.065   -0.007
 118   97.037    0.005
 119   97.035    0.034
 120   97.080    0.042
 121   97.095    0.098
 122   97.119    0.155
 123   97.162    0.226
 124   97.122    0.243
 125   97.128    0.206
 126   97.127    0.245
 127   97.116    0.271
 128   97.144    0.356
 129   97.176    0.399
 130   97.123    0.296
 131   97.127    0.221
 132   97.130    0.146
 133   97.134    0.071
 134   97.137   -0.004
 135   97.091    0.131
 136   97.111    0.149
 137   97.100    0.129
 138   97.080    0.145
 139   97.087    0.168
 140   97.100    0.186
 141   97.103    0.077
 142   97.082    0.037
 143   97.113   -0.040
 144   97.085    0.021
 145   97.055    0.031
 146   97.064    0.057
 147   97.072    0.082
 148   97.069    0.108
 149   97.060    0.107
 150   97.074    0.108
 151   97.049    0.126
 152   97.086    0.169
 153   97.081    0.177
 154   97.060    0.179
 155   97.037    0.148
 156   97.076    0.171
 157   97.071    0.150
 158   97.092    0.172
 159   97.103    0.199
 160   97.108    0.220
 161   97.090    0.241
 162   97.072    0.262
 163   97.054    0.282
 164   97.115    0.165
 165   97.075    0.130
 166   97.125    0.151
 167   97.091    0.103
 168   97.104    0.120
 169   97.110    0.151
 170   97.143    0.184
 171   97.125    0.284
 172   97.170    0.328
 173   97.169    0.345
 174   97.161    0.347
 175   97.138    0.356
 176   97.139    0.385
 177   97.120    0.417
 178   97.158    0.461
 179   97.146    0.383
 180   97.133    0.306
 181   97.121    0.228
 182   97.109    0.151
 183   97.097    0.073
 184   97.104    0.171
 185   97.077    0.184
 186   97.104    0.207
 187   97.079    0.253
 188   97.086    0.291
 189   97.114    0.289
 190   97.105    0.290
 191   97.119    0.182
 192   97.091    0.157
 193   97.069    0.157
 194   97.066    0.125
 195   97.052    0.142
 196   97.038    0.160
 197   97.024    0.177
 198   97.020    0.181
 199   97.043    0.199
 200   97.033    0.224
 201   97.042    0.240
 202   97.046    0.276
 203   97.038    0.248
 204   97.002    0.214
 205   96.982    0.197
 206   97.003    0.227
 207   96.996    0.222
 208   97.013    0.238
 209   97.081    0.269
 210   97.055    0.277
 211   97.105    0.340
 212   97.076    0.373
 213   97.039    0.381
 214   97.055    0.372
 215   97.049    0.328
 216   97.035    0.319
 217   97.033    0.267
 218   97.021    0.292
 219   97.069    0.327
 220   97.065    0.322
 221   97.075    0.306
 222   97.060    0.315
 223   97.086    0.329
 224   97.070    0.337
 225   97.050    0.328
 226   97.059    0.382
 227   97.041    0.408
 228   97.051    0.405
 229   97.086    0.470
 230   97.080    0.513
 231   97.086    0.557
 232   97.058    0.462
 233   97.030    0.367
 234   97.002    0.271
 235   96.974    0.176
 236   96.966    0.201
 237   96.973    0.199
 238   96.975    0.224
 239   96.978    0.261
 240   97.002    0.293
 241   97.000    0.267
 242   96.988    0.237
 243   97.010    0.173
 244   96.971    0.197
 245   96.943    0.127
 246   96.884    0.262
 247   96.958    0.214
 248   96.951    0.240
 249   96.927    0.254
 250   96.899    0.287
 251   96.917    0.263
 252   96.908    0.283
 253   96.920    0.272
 254   96.924    0.268
 255   96.869    0.206
 256   96.884    0.223
 257   96.869    0.183
 258   96.864    0.197
 259   96.881    0.206
 260   96.915    0.243
 261   96.914    0.317
 262   96.938    0.381
 263   96.960    0.452
 264   96.920    0.477
 265   96.877    0.274
 266   96.882    0.263
 267   96.875    0.232
 268   96.916    0.273
 269   96.930    0.303
 270   96.912    0.318
 271   96.966    0.309
 272   96.935    0.313
 273   96.973    0.367
 274   96.948    0.367
 275   96.909    0.247
 276   96.953    0.327
 277   96.904    0.308
 278   96.900    0.319
 279   96.943    0.378
 280   96.893    0.431
 281   96.911    0.441
 282   96.884    0.395
 283   96.881    0.306
 284   96.878    0.217
 285   96.876    0.129
 286   96.873    0.229
 287   96.842    0.221
 288   96.812    0.200
 289   96.838    0.233
 290   96.839    0.249
 291   96.849    0.230
 292   96.840    0.228
 293   96.848    0.184
 294   96.812    0.080
 295   96.802    0.017
 296   96.770    0.012
 297   96.763    0.075
 298   96.757    0.138
 299   96.748    0.221
 300   96.737    0.196
 301   96.758    0.225
 302   96.771    0.228
 303   96.768    0.202
 304   96.763    0.156
 305   96.737    0.075
 306   96.750    0.072
 307   96.730    0.081
 308   96.733    0.075
 309   96.746    0.131
 310   96.761    0.161
 311   96.762    0.227
 312   96.780    0.309
 313   96.781    0.367
 314   96.796    0.301
 315   96.720    0.135
 316   96.706    0.145
 317   96.714    0.154
 318   96.716    0.185
 319   96.750    0.214
 320   96.764    0.222
 321   96.767    0.232
 322   96.798    0.256
 323   96.809    0.276
 324   96.770    0.250
 325   96.742    0.220
 326   96.742    0.250
 327   96.724    0.277
 328   96.732    0.280
 329   96.779    0.359
 330   96.787    0.379
 331   96.765    0.270
 332   96.744    0.161
 333   96.723    0.052
 334   96.701   -0.057
 335   96.658    0.083
 336   96.672    0.121
 337   96.661    0.134
 338   96.677    0.159
 339   96.653    0.171
 340   96.664    0.158
 341   96.688    0.147
 342   96.661    0.126
 343   96.678    0.060
 344   96.672    -0.01
 345   96.616   -0.201
 346   96.624   -0.156
 347   96.632   -0.111
 348   96.640   -0.066
 349   96.630    0.121
 350   96.618    0.138
 351   96.623    0.093
 352   96.617    0.091
 353   96.616    0.050
 354   96.588    0.036
 355   96.572    0.001
 356   96.587    0.014
 357   96.585    -0.01
 358   96.572    0.001
 359   96.661    0.034
 360   96.649    0.058
 361   96.652    0.060
 362   96.670    0.072
 363   96.669   -0.019
 364   96.593   -0.042
 365   96.582   -0.114
 366   96.620   -0.046
 367   96.610   -0.022
 368   96.631   -0.007
 369   96.654    0.038
 370   96.636    0.060
 371   96.667    0.082
 372   96.683    0.105
 373   96.689    0.111
 374   96.692    0.103
 375   96.644    0.113
 376   96.688    0.123
 377   96.651    0.141
 378   96.647    0.183
 379   96.700    0.251
 380   96.685    0.178
 381   96.671    0.106
 382   96.656    0.033
 383   96.641   -0.040
 384   96.627   -0.112
 385   96.565   -0.043
 386   96.621   -0.019
 387   96.612   -0.022
 388   96.572    0.011
 389   96.590    0.002
 390   96.611    0.025
 391   96.608    0.037
 392   96.605    0.018
 393   96.615    0.038
 394   96.608   -0.057
 395   96.563   -0.242
 396   96.574   -0.216
 397   96.540   -0.159
 398   96.529   -0.139
 399   96.548   -0.037
 400   96.496   -0.071
 401   96.532   -0.097
 402   96.407   -0.090
 403   96.546   -0.101
 404   96.536   -0.111
 405   96.527   -0.122
 406   96.517   -0.133
 407   96.482   -0.054
 408   96.495   -0.034
 409   96.514    0.006
 410   96.550    0.011
 411   96.566    0.056
 412   96.572    0.009
 413   96.524   -0.104
 414   96.552   -0.180
 415   96.509   -0.160
 416   96.500   -0.132
 417   96.507   -0.110
 418   96.528   -0.073
 419   96.480   -0.063
 420   96.452   -0.047
 421   96.492   -0.018
 422   96.532     0.01
 423   96.550    0.061
 424   96.564    0.075
 425   96.500    0.083
 426   96.520    0.088
 427   96.457    0.133
 428   96.369    0.169
 429   96.447    0.210
 430   96.492    0.145
 431   96.503    0.002
 432   96.497   -0.088
 433   96.490   -0.179
 434   96.533   -0.106
 435   96.466   -0.083
 436   96.393   -0.070
 437   96.357   -0.072
 438   96.410   -0.052
 439   96.323   -0.037
 440   96.399   -0.034
 441   96.380   -0.077
 442   96.474   -0.083
 443   96.445   -0.122
 444   96.426   -0.128
 445   96.410   -0.202
 446   96.410   -0.181
 447   96.412   -0.210
 448   96.323   -0.181
 449   96.378    0.013
 450   96.382   -0.044
 451   96.416   -0.004
 452   96.389   -0.071
 453   96.363   -0.174
 454   96.402   -0.202
 455   96.343   -0.228
 456   96.313   -0.229
 457   96.299   -0.213
 458   96.279   -0.214
 459   96.318   -0.190
 460   96.337   -0.156
 461   96.387   -0.189
 462   96.361   -0.252
 463   96.380   -0.359
 464   96.357   -0.382
 465   96.219   -0.340
 466   96.343   -0.254
 467   96.322   -0.202
 468   96.295   -0.194
 469   96.346   -0.162
 470   96.367   -0.154
 471   96.348   -0.158
 472   96.360   -0.156
 473   96.159   -0.203
 474   96.371   -0.143
 475   96.386   -0.143
 476   96.308   -0.122
 477   95.961   -0.087
 478   96.113    0.017
 479   96.325    0.093
 480   96.260   -0.157
 481   96.029   -0.426
 482   96.311   -0.368
 483   96.320   -0.309
 484   96.326   -0.258
 485   95.993   -0.308
 486   96.302   -0.204
 487   96.232   -0.231
 488   96.253   -0.250
 489   96.058   -0.294
 490   96.283   -0.252
 491   96.313   -0.265
 492   96.328   -0.232
 493   96.237   -0.311
 494   96.273   -0.311
 495   96.226   -0.340
 496   96.178   -0.369
 497   96.131   -0.397
 498   96.203   -0.384
 499   96.177   -0.287
 500   96.206   -0.171
 501   96.164   -0.154
 502   96.292   -0.140
 503   96.202   -0.242
 504   96.251   -0.280
 505   95.831   -0.435
 506   96.236   -0.337
 507   95.613   -0.491
 508   95.847   -0.400
 509   95.797   -0.370
 510   96.138   -0.260
 511   96.264   -0.268
 512   96.269   -0.315
 513   96.137   -0.449
 514   96.267   -0.426
 515   95.700   -0.657
 516   96.024   -0.458
 517   95.703   -0.543
 518   95.997   -0.386
 519   95.609   -0.534
 520   95.964   -0.375
 521   96.063   -0.325
 522   96.035   -0.342
 523   96.007   -0.358
 524   95.979   -0.374
 525   95.757   -0.510
 526   96.106   -0.334
 527   95.571   -0.551
 528   95.584   -0.554
 529   95.598   -0.557
 530   95.612   -0.560
 531   95.625   -0.563
 532   95.639   -0.566
 533   95.744   -0.586
 534   95.684   -0.619
 535   95.416   -0.757
 536   95.719   -0.544
 537   95.419   -0.606
 538   95.695   -0.462
 539   95.380   -0.599
 540   95.683   -0.489
 541   95.546   -0.599
 542   95.873   -0.450
 543   95.469   -0.733
 544   95.548   -0.725
 545   95.414   -0.752
 546   95.702   -0.611
 547   95.381   -0.705
 548   95.482   -0.673
 549   95.432   -0.754
 550   95.712   -0.666
 551   95.424   -0.784
 552   95.689   -0.598
 553   95.420   -0.711
 554   95.406   -0.756
 555   95.392   -0.762
 556   95.549   -0.686
 557   95.426   -0.701
 558   95.566   -0.633
 559   95.457   -0.676
 560   95.575   -0.622
 561   95.525   -0.781
 562   95.753   -0.667
 563   95.474   -0.891
 564   95.472   -0.890
 565   95.464   -0.866
 566   95.652   -0.757
 567   95.498   -0.812
 568   95.537   -0.789
 569   95.538   -0.760
 570   95.608   -0.704
 571   95.580   -0.715
 572   95.619   -0.688
