 35.000   7.000
  0.000  200
   128.000    128.000      0.000
 600    1
   1   94.343   -0.929
   2   94.342   -0.932
   3   94.361   -0.897
   4   94.349   -0.876
   5   94.353   -0.824
   6   94.369   -0.796
   7   94.356   -0.752
   8   94.371   -0.793
   9   94.383   -0.887
  10   94.395   -0.981
  11   94.423   -1.088
  12   94.423   -1.106
  13   94.423   -1.123
  14   94.423   -1.141
  15   94.457   -1.042
  16   94.450   -0.998
  17   94.460   -0.960
  18   94.469   -0.945
  19   94.480   -0.898
  20   94.527   -0.845
  21   94.539   -0.810
  22   94.564   -0.795
  23   94.549   -0.737
  24   94.571   -0.792
  25   94.589   -0.870
  26   94.565   -1.006
  27   94.542   -1.143
  28   94.569   -1.262
  29   94.580   -1.155
  30   94.584   -0.921
  31   94.604   -0.723
  32   94.605   -0.726
  33   94.629   -0.716
  34   94.614   -0.727
  35   94.606   -0.769
  36   94.680   -0.774
  37   94.638   -0.778
  38   94.607   -0.827
  39   94.631   -0.831
  40   94.666   -0.817
  41   94.676   -0.830
  42   94.701   -0.816
  43   94.695   -0.784
  44   94.709   -0.768
  45   94.691   -0.744
  46   94.679   -0.756
  47   94.667   -0.768
  48   94.720   -0.747
  49   94.704   -0.810
  50   94.697   -0.842
  51   94.729   -0.819
  52   94.751   -0.798
  53   94.764   -0.739
  54   94.778   -0.719
  55   94.780   -0.701
  56   94.800   -0.686
  57   94.801   -0.636
  58   94.830   -0.619
  59   94.829   -0.636
  60   94.840   -0.676
  61   94.851   -0.717
  62   94.863   -0.757
  63   94.886   -0.680
  64   94.906   -0.680
  65   94.911   -0.656
  66   94.938   -0.639
  67   94.958   -0.647
  68   94.935   -0.635
  69   94.987   -0.565
  70   94.994   -0.555
  71   95.026   -0.544
  72   95.053   -0.512
  73   95.072   -0.473
  74   95.075   -0.440
  75   95.091   -0.369
  76   95.085   -0.305
  77   95.085   -0.373
  78   95.084   -0.441
  79   95.083   -0.509
  80   95.082   -0.577
  81   95.102   -0.496
  82   95.120   -0.422
  83   95.145   -0.399
  84   95.160   -0.366
  85   95.171   -0.327
  86   95.176   -0.316
  87   95.172   -0.317
  88   95.186   -0.357
  89   95.213   -0.338
  90   95.239   -0.342
  91   95.219   -0.348
  92   95.264   -0.335
  93   95.238   -0.355
  94   95.247   -0.351
  95   95.275   -0.369
  96   95.250   -0.360
  97   95.273   -0.323
  98   95.257   -0.273
  99   95.268   -0.244
 100   95.288   -0.242
 101   95.300   -0.219
 102   95.327   -0.198
 103   95.330   -0.180
 104   95.353   -0.190
 105   95.338   -0.200
 106   95.355   -0.177
 107   95.352   -0.182
 108   95.360   -0.204
 109   95.394   -0.194
 110   95.425   -0.198
 111   95.414   -0.157
 112   95.437   -0.151
 113   95.426   -0.046
 114   95.432   -0.047
 115   95.420   -0.063
 116   95.438   -0.032
 117   95.456   -0.013
 118   95.455    0.003
 119   95.455    0.031
 120   95.487    0.041
 121   95.489    0.083
 122   95.511    0.122
 123   95.542    0.214
 124   95.527    0.232
 125   95.536    0.200
 126   95.522    0.240
 127   95.507    0.270
 128   95.542    0.347
 129   95.584    0.378
 130   95.558    0.384
 131   95.548    0.284
 132   95.538    0.183
 133   95.527    0.082
 134   95.517   -0.018
 135   95.482    0.127
 136   95.504    0.144
 137   95.509    0.130
 138   95.501    0.167
 139   95.496    0.187
 140   95.521    0.209
 141   95.527    0.101
 142   95.528    0.080
 143   95.507   -0.031
 144   95.506    0.029
 145   95.485    0.041
 146   95.491    0.111
 147   95.455    0.083
 148   95.483    0.106
 149   95.483    0.119
 150   95.485    0.124
 151   95.472    0.136
 152   95.491    0.171
 153   95.485    0.176
 154   95.482    0.184
 155   95.461    0.163
 156   95.488    0.184
 157   95.482    0.142
 158   95.486    0.162
 159   95.489    0.173
 160   95.500    0.201
 161   95.501    0.198
 162   95.502    0.195
 163   95.503    0.192
 164   95.505    0.189
 165   95.490    0.136
 166   95.517    0.149
 167   95.488    0.116
 168   95.537    0.142
 169   95.532    0.190
 170   95.537    0.245
 171   95.538    0.306
 172   95.553    0.355
 173   95.572    0.354
 174   95.554    0.364
 175   95.542    0.370
 176   95.544    0.389
 177   95.523    0.425
 178   95.541    0.466
 179   95.538    0.398
 180   95.536    0.330
 181   95.533    0.261
 182   95.530    0.193
 183   95.527    0.124
 184   95.492    0.167
 185   95.479    0.172
 186   95.493    0.196
 187   95.471    0.214
 188   95.489    0.264
 189   95.505    0.280
 190   95.499    0.279
 191   95.505    0.182
 192   95.491    0.148
 193   95.472    0.156
 194   95.482    0.149
 195   95.431    0.210
 196   95.443    0.213
 197   95.431    0.182
 198   95.434    0.189
 199   95.456    0.199
 200   95.446    0.232
 201   95.440    0.256
 202   95.471    0.285
 203   95.429    0.223
 204   95.420    0.194
 205   95.411    0.183
 206   95.429    0.224
 207   95.416    0.222
 208   95.435    0.241
 209   95.475    0.268
 210   95.488    0.273
 211   95.482    0.332
 212   95.471    0.367
 213   95.457    0.383
 214   95.470    0.391
 215   95.457    0.326
 216   95.438    0.302
 217   95.437    0.237
 218   95.422    0.262
 219   95.464    0.307
 220   95.469    0.318
 221   95.467    0.289
 222   95.475    0.300
 223   95.489    0.323
 224   95.483    0.336
 225   95.479    0.342
 226   95.470    0.390
 227   95.468    0.408
 228   95.449    0.404
 229   95.498    0.466
 230   95.459    0.497
 231   95.507    0.576
 232   95.483    0.480
 233   95.460    0.384
 234   95.437    0.288
 235   95.413    0.192
 236   95.400    0.210
 237   95.397    0.224
 238   95.415    0.251
 239   95.416    0.293
 240   95.418    0.307
 241   95.427    0.273
 242   95.410    0.250
 243   95.434    0.178
 244   95.406    0.206
 245   95.403    0.146
 246   95.354    0.280
 247   95.380    0.212
 248   95.381    0.234
 249   95.365    0.258
 250   95.341    0.292
 251   95.359    0.275
 252   95.352    0.288
 253   95.362    0.264
 254   95.359    0.257
 255   95.320    0.193
 256   95.324    0.221
 257   95.307    0.189
 258   95.333    0.209
 259   95.308    0.237
 260   95.346    0.250
 261   95.347    0.316
 262   95.372    0.383
 263   95.386    0.459
 264   95.372    0.495
 265   95.327    0.280
 266   95.336    0.271
 267   95.322    0.242
 268   95.367    0.281
 269   95.371    0.319
 270   95.350    0.339
 271   95.388    0.332
 272   95.378    0.328
 273   95.382    0.358
 274   95.377    0.357
 275   95.336    0.248
 276   95.373    0.320
 277   95.329    0.309
 278   95.333    0.319
 279   95.346    0.365
 280   95.339    0.422
 281   95.340    0.447
 282   95.345    0.421
 283   95.330    0.361
 284   95.316    0.300
 285   95.301    0.240
 286   95.286    0.180
 287   95.277    0.213
 288   95.280    0.206
 289   95.294    0.249
 290   95.293    0.267
 291   95.313    0.251
 292   95.309    0.250
 293   95.299    0.202
 294   95.270    0.079
 295   95.256   -0.002
 296   95.236    0.006
 297   95.230    0.065
 298   95.224    0.125
 299   95.211    0.216
 300   95.213    0.193
 301   95.228    0.236
 302   95.234    0.242
 303   95.245    0.213
 304   95.220    0.160
 305   95.202    0.071
 306   95.230    0.074
 307   95.213    0.099
 308   95.214    0.092
 309   95.226    0.142
 310   95.244    0.172
 311   95.232    0.228
 312   95.232    0.286
 313   95.233    0.328
 314   95.233    0.281
 315   95.203    0.127
 316   95.182    0.144
 317   95.198    0.151
 318   95.202    0.187
 319   95.221    0.227
 320   95.241    0.246
 321   95.238    0.246
 322   95.242    0.253
 323   95.253    0.257
 324   95.231    0.241
 325   95.230    0.231
 326   95.223    0.254
 327   95.211    0.296
 328   95.218    0.288
 329   95.252    0.354
 330   95.236    0.371
 331   95.223    0.266
 332   95.211    0.161
 333   95.198    0.056
 334   95.186   -0.049
 335   95.137    0.080
 336   95.168    0.125
 337   95.150    0.140
 338   95.176    0.174
 339   95.145    0.175
 340   95.158    0.166
 341   95.169    0.159
 342   95.161    0.146
 343   95.166    0.079
 344   95.162    0.008
 345   95.097   -0.187
 346   95.106   -0.147
 347   95.114   -0.106
 348   95.123   -0.066
 349   95.127    0.123
 350   95.113    0.145
 351   95.122    0.101
 352   95.121    0.107
 353   95.112    0.074
 354   95.093    0.045
 355   95.081    0.013
 356   95.101    0.027
 357   95.095    0.000
 358   95.074     0.01
 359   95.108    0.030
 360   95.142    0.051
 361   95.159    0.082
 362   95.151    0.097
 363   95.169    0.022
 364   95.104   -0.029
 365   95.080   -0.113
 366   95.110   -0.052
 367   95.119   -0.020
 368   95.127    0.002
 369   95.144    0.060
 370   95.148    0.083
 371   95.144    0.097
 372   95.167    0.111
 373   95.175    0.116
 374   95.175    0.115
 375   95.135    0.127
 376   95.170    0.138
 377   95.146    0.155
 378   95.139    0.197
 379   95.166    0.248
 380   95.160    0.177
 381   95.154    0.107
 382   95.149    0.036
 383   95.143   -0.035
 384   95.137   -0.105
 385   95.085   -0.043
 386   95.120   -0.012
 387   95.108   -0.019
 388   95.091    0.016
 389   95.096    0.001
 390   95.117    0.030
 391   95.087    0.031
 392   95.100    0.018
 393   95.105    0.041
 394   95.114   -0.057
 395   95.090   -0.229
 396   95.075   -0.213
 397   95.056   -0.158
 398   95.052   -0.130
 399   95.045   -0.036
 400   95.026   -0.056
 401   95.052   -0.084
 402   95.006   -0.087
 403   95.065   -0.085
 404   95.055   -0.093
 405   95.045   -0.101
 406   95.029   -0.126
 407   95.021   -0.051
 408   95.021   -0.029
 409   95.038    0.011
 410   95.061    0.012
 411   95.076    0.066
 412   95.095    0.022
 413   95.057   -0.107
 414   95.067   -0.171
 415   95.046   -0.158
 416   95.018   -0.131
 417   95.034   -0.111
 418   95.038   -0.071
 419   95.018   -0.060
 420   94.981   -0.041
 421   95.025   -0.020
 422   95.042    0.011
 423   95.074    0.062
 424   95.074    0.075
 425   95.029    0.093
 426   95.041    0.090
 427   94.993    0.141
 428   94.908    0.165
 429   94.947    0.215
 430   95.012    0.147
 431   95.000   -0.004
 432   94.984   -0.192
 433   95.044   -0.123
 434   95.043   -0.102
 435   94.953   -0.085
 436   94.908   -0.072
 437   94.891   -0.072
 438   94.958   -0.051
 439   94.885   -0.032
 440   94.913   -0.031
 441   94.908   -0.074
 442   94.990   -0.083
 443   94.957   -0.121
 444   94.940   -0.126
 445   94.960   -0.199
 446   94.930   -0.182
 447   94.906   -0.206
 448   94.866   -0.208
 449   94.924   -0.011
 450   94.913   -0.042
 451   94.943   -0.007
 452   94.922   -0.070
 453   94.932   -0.156
 454   94.949   -0.206
 455   94.872   -0.233
 456   94.867   -0.235
 457   94.876   -0.209
 458   94.862   -0.205
 459   94.855   -0.190
 460   94.882   -0.161
 461   94.861   -0.212
 462   94.890   -0.254
 463   94.913   -0.362
 464   94.907   -0.395
 465   94.851   -0.318
 466   94.900   -0.261
 467   94.869   -0.211
 468   94.854   -0.199
 469   94.838   -0.169
 470   94.878   -0.164
 471   94.865   -0.159
 472   94.886   -0.164
 473   94.662   -0.233
 474   94.907   -0.148
 475   94.944   -0.143
 476   94.928   -0.097
 477   94.602   -0.075
 478   94.720    0.008
 479   94.718   -0.092
 480   94.716   -0.192
 481   94.714   -0.292
 482   94.870   -0.363
 483   94.874   -0.307
 484   94.884   -0.244
 485   94.644   -0.275
 486   94.875   -0.204
 487   94.781   -0.233
 488   94.801   -0.237
 489   94.609   -0.307
 490   94.863   -0.247
 491   94.874   -0.259
 492   94.879   -0.239
 493   94.794   -0.330
 494   94.819   -0.318
 495   94.784   -0.343
 496   94.749   -0.368
 497   94.715   -0.393
 498   94.772   -0.373
 499   94.762   -0.278
 500   94.794   -0.166
 501   94.733   -0.161
 502   94.840   -0.145
 503   94.792   -0.242
 504   94.832   -0.274
 505   94.497   -0.427
 506   94.798   -0.334
 507   94.314   -0.483
 508   94.502   -0.397
 509   94.508   -0.340
 510   94.742   -0.241
 511   94.687   -0.298
 512   94.829   -0.280
 513   94.669   -0.470
 514   94.762   -0.449
 515   94.347   -0.667
 516   94.610   -0.470
 517   94.335   -0.567
 518   94.596   -0.403
 519   94.423   -0.448
 520   94.626   -0.346
 521   94.571   -0.361
 522   94.870   -0.253
 523   94.655   -0.342
 524   94.699   -0.356
 525   94.393   -0.514
 526   94.675   -0.346
 527   94.222   -0.581
 528   94.235   -0.580
 529   94.248   -0.579
 530   94.262   -0.578
 531   94.275   -0.578
 532   94.288   -0.577
 533   94.413   -0.582
 534   94.351   -0.622
 535   94.124   -0.769
 536   94.376   -0.574
 537   94.127   -0.635
 538   94.355   -0.474
 539   94.074   -0.619
 540   94.309   -0.509
 541   94.207   -0.620
 542   94.467   -0.471
 543   94.116   -0.761
 544   94.212   -0.738
 545   94.130   -0.750
 546   94.358   -0.623
 547   94.086   -0.715
 548   94.171   -0.682
 549   94.115   -0.767
 550   94.359   -0.681
 551   94.124   -0.800
 552   94.368   -0.609
 553   94.120   -0.721
 554   94.115   -0.763
 555   94.104   -0.779
 556   94.273   -0.679
 557   94.151   -0.713
 558   94.263   -0.646
 559   94.155   -0.693
 560   94.248   -0.640
 561   94.189   -0.811
 562   94.384   -0.702
 563   94.170   -0.906
 564   94.163   -0.904
 565   94.162   -0.866
 566   94.265   -0.775
 567   94.218   -0.816
 568   94.218   -0.792
 569   94.218   -0.788
 570   94.299   -0.719
 571   94.255   -0.747
 572   94.289   -0.711
